rfam_acc	term
RF00415	GO:0006396
RF00416	GO:0006396
RF00417	GO:0006396
RF00418	GO:0006396
RF00419	GO:0006396
RF00420	GO:0006396
RF00421	GO:0006396
RF00422	GO:0006396
RF00423	GO:0006396
RF00424	GO:0006396
RF00425	GO:0006396
RF00426	GO:0006396
RF00427	GO:0006396
RF00428	GO:0006396
RF00429	GO:0006396
RF00430	GO:0006396
RF00431	GO:0006396
RF00432	GO:0006396
RF00433	GO:0040040
RF00435	GO:0040040
RF00438	GO:0006396
RF00439	GO:0006396
RF00440	GO:0006396
RF00441	GO:0006396
RF00443	GO:0006396
RF00445	GO:0035195
RF00446	GO:0035195
RF00451	GO:0035195
RF00452	GO:0035195
RF00455	GO:0035195
RF00456	GO:0035195
RF00464	GO:0035195
RF00471	GO:0006396
RF00472	GO:0006396
RF00473	GO:0006396
RF00474	GO:0006396
RF00475	GO:0006396
RF00476	GO:0006396
RF00477	GO:0006396
RF00478	GO:0006396
RF00479	GO:0006396
RF00482	GO:0006396
RF00486	GO:0035195
RF00488	GO:0000395
RF00492	GO:0006396
RF00493	GO:0006396
RF00494	GO:0006396
RF00504	GO:0006545
RF00506	GO:0009088
RF00509	GO:0006396
RF00512	GO:0009098
RF00514	GO:0000105
RF00519	GO:0006353
RF00521	GO:0045814
RF00522	GO:0008616
RF00526	GO:0006396
RF00527	GO:0006396
RF00528	GO:0006396
RF00529	GO:0006396
RF00530	GO:0006396
RF00531	GO:0006396
RF00532	GO:0006396
RF00533	GO:0006396
RF00534	GO:0032057
RF00534	GO:0043488
RF00535	GO:0006396
RF00536	GO:0006396
RF00537	GO:0006396
RF00538	GO:0006396
RF00539	GO:0006396
RF00540	GO:0006396
RF00541	GO:0006396
RF00542	GO:0006396
RF00543	GO:0006396
RF00544	GO:0006396
RF00545	GO:0006396
RF00546	GO:0006396
RF00548	GO:0000395
RF00551	GO:0008359
RF00553	GO:0006396
RF00554	GO:0006396
RF00560	GO:0006396
RF00561	GO:0006396
RF00562	GO:0006396
RF00563	GO:0006396
RF00564	GO:0006396
RF00565	GO:0006396
RF00566	GO:0006396
RF00567	GO:0006396
RF00568	GO:0006396
RF00569	GO:0006396
RF00570	GO:0006396
RF00571	GO:0006396
RF00572	GO:0006396
RF00573	GO:0006396
RF00574	GO:0006396
RF00575	GO:0006396
RF00576	GO:0006396
RF00577	GO:0006396
RF00578	GO:0006396
RF00579	GO:0006396
RF00580	GO:0006396
RF00581	GO:0006396
RF00582	GO:0006396
RF00584	GO:0006396
RF00586	GO:0006396
RF00588	GO:0006396
RF00591	GO:0006396
RF00592	GO:0006396
RF00593	GO:0006396
RF00594	GO:0006396
RF00598	GO:0006396
RF00599	GO:0006396
RF00600	GO:0006396
RF00601	GO:0006396
RF00602	GO:0006396
RF00603	GO:0006396
RF00604	GO:0006396
RF00606	GO:0006396
RF00607	GO:0006396
RF00608	GO:0006396
RF00609	GO:0006396
RF00610	GO:0006396
RF00611	GO:0006396
RF00612	GO:0006396
RF00613	GO:0006396
RF00614	GO:0006396
RF00618	GO:0000244
RF00618	GO:0000395
RF00619	GO:0000244
RF00619	GO:0000395
RF00626	GO:0051028
RF00637	GO:0035195
RF00638	GO:0035195
RF00639	GO:0035195
RF00640	GO:0035195
RF00641	GO:0035195
RF00642	GO:0035195
RF00643	GO:0035195
RF00644	GO:0035195
RF00645	GO:0035195
RF00646	GO:0035195
RF00647	GO:0035195
RF00648	GO:0035195
RF00649	GO:0035195
RF00650	GO:0035195
RF00651	GO:0035195
RF00652	GO:0035195
RF00653	GO:0035195
RF00654	GO:0035195
RF00655	GO:0035195
RF00656	GO:0035195
RF00657	GO:0035195
RF00658	GO:0035195
RF00659	GO:0035195
RF00660	GO:0035195
RF00661	GO:0035195
RF00662	GO:0035195
RF00663	GO:0035195
RF00664	GO:0035195
RF00665	GO:0035195
RF00666	GO:0035195
RF00667	GO:0035195
RF00668	GO:0035195
RF00669	GO:0035195
RF00670	GO:0035195
RF00671	GO:0035195
RF00672	GO:0035195
RF00673	GO:0035195
RF00674	GO:0035195
RF00675	GO:0035195
RF00676	GO:0035195
RF00677	GO:0035195
RF00678	GO:0035195
RF00679	GO:0035195
RF00680	GO:0035195
RF00681	GO:0035195
RF00682	GO:0035195
RF00683	GO:0035195
RF00684	GO:0035195
RF00685	GO:0035195
RF00686	GO:0035195
RF00687	GO:0035195
RF00688	GO:0035195
RF00689	GO:0035195
RF00690	GO:0035195
RF00691	GO:0035195
RF00692	GO:0035195
RF00693	GO:0035195
RF00694	GO:0035195
RF00695	GO:0035195
RF00696	GO:0035195
RF00697	GO:0035195
RF00698	GO:0035195
RF00699	GO:0035195
RF00700	GO:0035195
RF00701	GO:0035195
RF00702	GO:0035195
RF00703	GO:0035195
RF00704	GO:0035195
RF00705	GO:0035195
RF00706	GO:0035195
RF00707	GO:0035195
RF00708	GO:0035195
RF00709	GO:0035195
RF00710	GO:0035195
RF00711	GO:0035195
RF00712	GO:0035195
RF00713	GO:0035195
RF00714	GO:0035195
RF00715	GO:0035195
RF00716	GO:0035195
RF00717	GO:0035195
RF00718	GO:0035195
RF00719	GO:0035195
RF00720	GO:0035195
RF00721	GO:0035195
RF00722	GO:0035195
RF00723	GO:0035195
RF00724	GO:0035195
RF00725	GO:0035195
RF00726	GO:0035195
RF00727	GO:0035195
RF00728	GO:0035195
RF00729	GO:0035195
RF00730	GO:0035195
RF00731	GO:0035195
RF00732	GO:0035195
RF00733	GO:0035195
RF00734	GO:0035195
RF00735	GO:0035195
RF00736	GO:0035195
RF00737	GO:0035195
RF00739	GO:0035195
RF00740	GO:0035195
RF00741	GO:0035195
RF00742	GO:0035195
RF00743	GO:0035195
RF00744	GO:0035195
RF00745	GO:0035195
RF00746	GO:0035195
RF00747	GO:0035195
RF00748	GO:0035195
RF00749	GO:0035195
RF00750	GO:0035195
RF00751	GO:0035195
RF00752	GO:0035195
RF00753	GO:0035195
RF00754	GO:0035195
RF00755	GO:0035195
RF00756	GO:0035195
RF00757	GO:0035195
RF00758	GO:0035195
RF00760	GO:0035195
RF00761	GO:0035195
RF00762	GO:0035195
RF00763	GO:0035195
RF00764	GO:0035195
RF00765	GO:0035195
RF00766	GO:0035195
RF00767	GO:0035195
RF00768	GO:0035195
RF00769	GO:0035195
RF00770	GO:0035195
RF00771	GO:0035195
RF00772	GO:0035195
RF00773	GO:0035195
RF00774	GO:0035195
RF00775	GO:0035195
RF00776	GO:0035195
RF00777	GO:0035195
RF00778	GO:0035195
RF00779	GO:0035195
RF00780	GO:0035195
RF00781	GO:0035195
RF00782	GO:0035195
RF00783	GO:0035195
RF00784	GO:0035195
RF00785	GO:0035195
RF00786	GO:0035195
RF00787	GO:0035195
RF00788	GO:0035195
RF00789	GO:0035195
RF00790	GO:0035195
RF00791	GO:0035195
RF00792	GO:0035195
RF00793	GO:0035195
RF00794	GO:0035195
RF00795	GO:0035195
RF00796	GO:0035195
RF00797	GO:0035195
RF00798	GO:0035195
RF00799	GO:0035195
RF00800	GO:0035195
RF00801	GO:0035195
RF00802	GO:0035195
RF00803	GO:0035195
RF00804	GO:0035195
RF00805	GO:0035195
RF00806	GO:0035195
RF00807	GO:0035195
RF00808	GO:0035195
RF00809	GO:0035195
RF00810	GO:0035195
RF00811	GO:0035195
RF00812	GO:0035195
RF00813	GO:0035195
RF00814	GO:0035195
RF00815	GO:0035195
RF00816	GO:0035195
RF00817	GO:0035195
RF00818	GO:0035195
RF00819	GO:0035195
RF00820	GO:0035195
RF00821	GO:0035195
RF00822	GO:0035195
RF00823	GO:0035195
RF00824	GO:0035195
RF00825	GO:0035195
RF00826	GO:0035195
RF00827	GO:0035195
RF00828	GO:0035195
RF00829	GO:0035195
RF00830	GO:0035195
RF00831	GO:0035195
RF00832	GO:0035195
RF00833	GO:0035195
RF00834	GO:0035195
RF00835	GO:0035195
RF00836	GO:0035195
RF00837	GO:0035195
RF00838	GO:0035195
RF00839	GO:0035195
RF00840	GO:0035195
RF00841	GO:0035195
RF00842	GO:0035195
RF00843	GO:0035195
RF00844	GO:0035195
RF00845	GO:0035195
RF00846	GO:0035195
RF00847	GO:0035195
RF00848	GO:0035195
RF00849	GO:0035195
RF00850	GO:0035195
RF00851	GO:0035195
RF00852	GO:0035195
RF00853	GO:0035195
RF00854	GO:0035195
RF00855	GO:0035195
RF00856	GO:0035195
RF00857	GO:0035195
RF00858	GO:0035195
RF00859	GO:0035195
RF00861	GO:0035195
RF00862	GO:0035195
RF00863	GO:0035195
RF00864	GO:0035195
RF00865	GO:0035195
RF00866	GO:0035195
RF00867	GO:0035195
RF00868	GO:0035195
RF00869	GO:0035195
RF00870	GO:0035195
RF00871	GO:0035195
RF00872	GO:0035195
RF00873	GO:0035195
RF00874	GO:0035195
RF00875	GO:0035195
RF00876	GO:0035195
RF00877	GO:0035195
RF00878	GO:0035195
RF00879	GO:0035195
RF00882	GO:0035195
RF00883	GO:0035195
RF00884	GO:0035195
RF00885	GO:0035195
RF00886	GO:0035195
RF00887	GO:0035195
RF00888	GO:0035195
RF00890	GO:0035195
RF00891	GO:0035195
RF00892	GO:0035195
RF00893	GO:0035195
RF00894	GO:0035195
RF00895	GO:0035195
RF00896	GO:0035195
RF00897	GO:0035195
RF00898	GO:0035195
RF00899	GO:0035195
RF00900	GO:0035195
RF00901	GO:0035195
RF00902	GO:0035195
RF00903	GO:0035195
RF00904	GO:0035195
RF00905	GO:0035195
RF00906	GO:0035195
RF00907	GO:0035195
RF00908	GO:0035195
RF00909	GO:0035195
RF00910	GO:0035195
RF00911	GO:0035195
RF00912	GO:0035195
RF00914	GO:0035195
RF00915	GO:0035195
RF00917	GO:0035195
RF00918	GO:0035195
RF00919	GO:0035195
RF00920	GO:0035195
RF00921	GO:0035195
RF00922	GO:0035195
RF00925	GO:0035195
RF00926	GO:0035195
RF00927	GO:0035195
RF00928	GO:0035195
