rfam_acc	term
RF00001	GO:0005840
RF00002	GO:0005840
RF00003	GO:0005685
RF00004	GO:0005686
RF00007	GO:0005693
RF00009	GO:0030677
RF00010	GO:0030680
RF00011	GO:0030680
RF00012	GO:0005730
RF00015	GO:0005687
RF00015	GO:0046540
RF00016	GO:0005730
RF00017	GO:0005786
RF00017	GO:0048501
RF00020	GO:0005682
RF00020	GO:0046540
RF00024	GO:0000333
RF00025	GO:0000333
RF00026	GO:0005688
RF00026	GO:0046540
RF00027	GO:0035068
RF00030	GO:0000172
RF00045	GO:0005730
RF00046	GO:0005730
RF00047	GO:0035068
RF00049	GO:0005730
RF00051	GO:0035068
RF00052	GO:0035068
RF00053	GO:0035068
RF00054	GO:0005730
RF00055	GO:0005730
RF00056	GO:0005730
RF00065	GO:0005730
RF00067	GO:0005730
RF00068	GO:0005730
RF00069	GO:0005730
RF00070	GO:0005730
RF00071	GO:0005730
RF00072	GO:0005730
RF00073	GO:0035068
RF00074	GO:0035068
RF00075	GO:0035068
RF00076	GO:0035068
RF00085	GO:0005730
RF00086	GO:0005730
RF00087	GO:0005730
RF00088	GO:0005730
RF00089	GO:0005730
RF00090	GO:0005730
RF00091	GO:0005730
RF00092	GO:0005730
RF00093	GO:0005730
RF00095	GO:0005730
RF00096	GO:0005730
RF00097	GO:0005730
RF00099	GO:0005730
RF00103	GO:0035068
RF00104	GO:0035068
RF00105	GO:0005730
RF00108	GO:0005730
RF00129	GO:0035068
RF00130	GO:0035068
RF00131	GO:0035068
RF00132	GO:0005730
RF00133	GO:0005730
RF00134	GO:0005730
RF00135	GO:0005730
RF00136	GO:0005730
RF00137	GO:0005730
RF00138	GO:0005730
RF00139	GO:0005730
RF00142	GO:0005730
RF00143	GO:0035068
RF00144	GO:0035068
RF00145	GO:0005730
RF00147	GO:0005730
RF00149	GO:0005730
RF00150	GO:0005730
RF00151	GO:0005730
RF00152	GO:0005730
RF00153	GO:0005730
RF00154	GO:0005730
RF00155	GO:0005730
RF00156	GO:0005730
RF00157	GO:0005730
RF00158	GO:0005730
RF00159	GO:0005730
RF00160	GO:0005730
RF00169	GO:0048501
RF00177	GO:0005840
RF00178	GO:0035068
RF00181	GO:0005730
RF00186	GO:0005730
RF00187	GO:0005730
RF00188	GO:0005730
RF00189	GO:0005730
RF00190	GO:0005730
RF00191	GO:0005730
RF00200	GO:0005730
RF00201	GO:0005730
RF00202	GO:0005730
RF00203	GO:0005730
RF00204	GO:0005730
RF00205	GO:0005730
RF00206	GO:0005730
RF00208	GO:0005730
RF00211	GO:0005730
RF00212	GO:0005730
RF00213	GO:0005730
RF00217	GO:0005730
RF00218	GO:0005730
RF00221	GO:0005730
RF00231	GO:0015030
RF00231	GO:0005730
RF00237	GO:0035068
RF00239	GO:0035068
RF00241	GO:0035068
RF00244	GO:0035068
RF00245	GO:0035068
RF00246	GO:0035068
RF00247	GO:0035068
RF00248	GO:0035068
RF00249	GO:0035068
RF00250	GO:0035068
RF00251	GO:0035068
RF00253	GO:0035068
RF00254	GO:0035068
RF00255	GO:0035068
RF00256	GO:0035068
RF00257	GO:0035068
RF00258	GO:0035068
RF00263	GO:0005730
RF00264	GO:0005730
RF00265	GO:0005730
RF00266	GO:0005730
RF00267	GO:0005730
RF00268	GO:0005730
RF00270	GO:0005730
RF00271	GO:0005730
RF00272	GO:0005730
RF00273	GO:0005730
RF00274	GO:0005730
RF00275	GO:0005730
RF00276	GO:0005730
RF00277	GO:0005730
RF00278	GO:0005730
RF00279	GO:0005730
RF00280	GO:0005730
RF00281	GO:0005730
RF00282	GO:0005730
RF00283	GO:0015030
RF00283	GO:0005730
RF00284	GO:0005730
RF00285	GO:0005730
RF00286	GO:0015030
RF00286	GO:0005730
RF00287	GO:0005730
RF00288	GO:0005730
RF00289	GO:0005730
RF00291	GO:0005730
RF00292	GO:0005730
RF00293	GO:0005730
RF00294	GO:0005730
RF00295	GO:0005730
RF00296	GO:0005730
RF00300	GO:0005730
RF00301	GO:0005730
RF00302	GO:0005730
RF00303	GO:0005730
RF00304	GO:0005730
RF00305	GO:0005730
RF00306	GO:0005730
RF00307	GO:0005730
RF00309	GO:0005730
RF00310	GO:0005730
RF00311	GO:0005730
RF00312	GO:0005730
RF00313	GO:0005730
RF00314	GO:0005730
RF00315	GO:0005730
RF00316	GO:0005730
RF00317	GO:0005730
RF00318	GO:0005730
