from	to
PO:0004532	PO:0004533
PO:0004532	PO:0004534
PO:0004533	PO:0004526
PO:0004534	PO:0004527
PO:0004535	PO:0025267
PO:0004542	PO:0025204
PO:0004543	PO:0004547
PO:0004543	PO:0004548
PO:0004543	PO:0025040
PO:0004543	PO:0025043
PO:0004543	PO:0025046
PO:0004543	PO:0025068
PO:0004545	PO:0004546
PO:0004545	PO:0006343
PO:0004547	PO:0025038
PO:0004547	PO:0025042
PO:0004547	PO:0025045
PO:0004547	PO:0025048
PO:0004547	PO:0025070
PO:0004547	PO:0025081
PO:0004548	PO:0025039
PO:0004548	PO:0025041
PO:0004548	PO:0025047
PO:0004548	PO:0025069
PO:0004548	PO:0025079
PO:0004709	PO:0004712
PO:0004709	PO:0025072
PO:0004712	PO:0025040
PO:0004712	PO:0025353
PO:0004713	PO:0004716
PO:0004713	PO:0025071
PO:0004718	PO:0000041
PO:0004718	PO:0004009
PO:0004724	PO:0025300
PO:0004724	PO:0025301
PO:0005003	PO:0025153
PO:0005003	PO:0025176
PO:0005003	PO:0025177
PO:0005004	PO:0006325
PO:0005004	PO:0020141
PO:0005004	PO:0025024
PO:0005005	PO:0006326
PO:0005005	PO:0020142
PO:0005005	PO:0025080
PO:0005005	PO:0025100
PO:0005005	PO:0025102
PO:0005005	PO:0025204
PO:0005006	PO:0006221
PO:0005017	PO:0000054
PO:0005017	PO:0004723
PO:0005017	PO:0005018
PO:0005017	PO:0025207
PO:0005018	PO:0008013
PO:0005018	PO:0008014
PO:0005019	PO:0008012
PO:0005020	PO:0025203
PO:0005020	PO:0025348
PO:0005020	PO:0025434
PO:0005022	PO:0005025
PO:0005022	PO:0006063
PO:0005029	PO:0000016
PO:0005029	PO:0025479
PO:0005029	PO:0025480
PO:0005040	PO:0025065
PO:0005041	PO:0025064
PO:0005043	PO:0000400
PO:0005043	PO:0004524
PO:0005043	PO:0025453
PO:0005043	PO:0025456
PO:0005043	PO:0025457
PO:0005046	PO:0004003
PO:0005046	PO:0005047
PO:0005046	PO:0005048
PO:0005046	PO:0005050
PO:0005046	PO:0005599
PO:0005048	PO:0025043
PO:0005051	PO:0005057
PO:0005051	PO:0005772
PO:0005052	PO:0000009
PO:0005052	PO:0025285
PO:0005352	PO:0000274
PO:0005352	PO:0000290
PO:0005352	PO:0005848
PO:0005352	PO:0005849
PO:0005352	PO:0019026
PO:0005352	PO:0025417
PO:0005360	PO:0008008
PO:0005417	PO:0000071
PO:0005417	PO:0004519
PO:0005417	PO:0005043
PO:0005417	PO:0006075
PO:0005417	PO:0025406
PO:0005417	PO:0025412
PO:0005417	PO:0025416
PO:0005421	PO:0000074
PO:0005421	PO:0000309
PO:0005421	PO:0004532
PO:0005421	PO:0005426
PO:0005421	PO:0005702
PO:0005421	PO:0006066
PO:0005421	PO:0006068
PO:0005421	PO:0006069
PO:0005421	PO:0006109
PO:0005421	PO:0020005
PO:0005421	PO:0025035
PO:0005421	PO:0025058
PO:0005421	PO:0025095
PO:0005421	PO:0030054
PO:0005423	PO:0000075
PO:0005426	PO:0000076
PO:0005426	PO:0005025
PO:0005426	PO:0006070
PO:0005426	PO:0030003
PO:0005597	PO:0000295
PO:0005597	PO:0005598
PO:0005597	PO:0005599
PO:0005598	PO:0004522
PO:0005598	PO:0004523
PO:0005598	PO:0006200
PO:0005598	PO:0006201
PO:0005598	PO:0025437
PO:0005598	PO:0025438
PO:0005599	PO:0025435
PO:0005599	PO:0025436
PO:0005645	PO:0005647
PO:0005645	PO:0005648
PO:0005645	PO:0025380
PO:0005645	PO:0025399
PO:0005647	PO:0006205
PO:0005647	PO:0025381
PO:0005648	PO:0006206
PO:0005648	PO:0025397
PO:0005656	PO:0005006
PO:0005656	PO:0005661
PO:0005656	PO:0005665
PO:0005656	PO:0005669
PO:0005656	PO:0009035
PO:0005660	PO:0000066
PO:0005660	PO:0025322
PO:0005679	PO:0000282
PO:0005679	PO:0000349
PO:0005679	PO:0004013
PO:0005679	PO:0006035
PO:0005679	PO:0006036
PO:0005679	PO:0006043
PO:0005679	PO:0006048
PO:0005679	PO:0006049
PO:0005679	PO:0006063
PO:0005679	PO:0025169
PO:0005679	PO:0030069
PO:0005679	PO:0030073
PO:0005702	PO:0006213
PO:0005702	PO:0006214
PO:0005702	PO:0006215
PO:0005708	PO:0000053
PO:0005708	PO:0000223
PO:0005708	PO:0000252
PO:0005708	PO:0000258
PO:0005708	PO:0004721
PO:0005708	PO:0004722
PO:0005708	PO:0005014
PO:0005708	PO:0005051
PO:0005708	PO:0025055
PO:0005772	PO:0006207
PO:0005848	PO:0004512
PO:0005848	PO:0004513
PO:0005848	PO:0004514
PO:0005848	PO:0004515
PO:0005848	PO:0004516
PO:0005848	PO:0004517
PO:0005848	PO:0004532
PO:0005848	PO:0025445
PO:0005848	PO:0025447
PO:0005848	PO:0025449
PO:0005848	PO:0025451
PO:0005848	PO:0025472
PO:0005849	PO:0000272
PO:0005849	PO:0000372
PO:0005849	PO:0025444
PO:0005849	PO:0025446
PO:0005849	PO:0025448
PO:0005849	PO:0025450
PO:0006001	PO:0006003
PO:0006001	PO:0009026
PO:0006001	PO:0009031
PO:0006001	PO:0009032
PO:0006001	PO:0009033
PO:0006001	PO:0009036
PO:0006001	PO:0009042
PO:0006001	PO:0009055
PO:0006001	PO:0025034
PO:0006001	PO:0025139
PO:0006001	PO:0025140
PO:0006001	PO:0025157
PO:0006001	PO:0025206
PO:0006001	PO:0025215
PO:0006001	PO:0025245
PO:0006001	PO:0025246
PO:0006001	PO:0025247
PO:0006001	PO:0025398
PO:0006001	PO:0025400
PO:0006001	PO:0025402
PO:0006001	PO:0025428
PO:0006002	PO:0006369
PO:0006002	PO:0006372
PO:0006003	PO:0020054
PO:0006003	PO:0025014
PO:0006003	PO:0025278
PO:0006004	PO:0006370
PO:0006004	PO:0006371
PO:0006006	PO:0006010
PO:0006007	PO:0006008
PO:0006007	PO:0006009
PO:0006016	PO:0000047
PO:0006016	PO:0000051
PO:0006016	PO:0006018
PO:0006016	PO:0006019
PO:0006016	PO:0006056
PO:0006016	PO:0006504
PO:0006016	PO:0025167
PO:0006016	PO:0025212
