from	to
FBcv:0002005	FBcv:0002030
FBcv:0002005	FBcv:0002031
FBcv:0002007	FBcv:0002006
FBcv:0002007	FBcv:0002008
FBcv:0002007	FBcv:0002009
FBcv:0002010	FBcv:0002005
FBcv:0002010	FBcv:0002034
FBcv:0002010	FBcv:0002035
FBcv:0002010	FBcv:0002036
FBcv:0002011	FBcv:0002006
FBcv:0002012	FBcv:0002007
FBcv:0002012	FBcv:0002011
FBcv:0002012	FBcv:0002013
FBcv:0002012	FBcv:0002014
FBcv:0002013	FBcv:0002008
FBcv:0002014	FBcv:0002009
FBcv:0002015	FBcv:0000350
FBcv:0002015	FBcv:0000352
FBcv:0002019	FBcv:0000351
FBcv:0002019	FBcv:0002015
FBcv:0002019	FBcv:0002020
FBcv:0002019	FBcv:0002023
FBcv:0002019	FBcv:0002041
FBcv:0002019	FBcv:0002051
FBcv:0002020	FBcv:0002010
FBcv:0002020	FBcv:0002038
FBcv:0002020	FBcv:0002039
FBcv:0002020	FBcv:0002040
FBcv:0002021	FBcv:0002011
FBcv:0002022	FBcv:0002013
FBcv:0002023	FBcv:0002012
FBcv:0002023	FBcv:0002021
FBcv:0002023	FBcv:0002022
FBcv:0002023	FBcv:0002024
FBcv:0002024	FBcv:0002014
FBcv:0002026	FBcv:0002002
FBcv:0002026	FBcv:0002031
FBcv:0002027	FBcv:0002026
FBcv:0002027	FBcv:0002030
FBcv:0002032	FBcv:0002033
FBcv:0002034	FBcv:0002030
FBcv:0002035	FBcv:0002031
FBcv:0002036	FBcv:0002025
FBcv:0002037	FBcv:0002033
FBcv:0002038	FBcv:0002036
FBcv:0002039	FBcv:0002034
FBcv:0002040	FBcv:0002035
FBcv:0002041	FBcv:0002037
FBcv:0002050	FBcv:0002042
FBcv:0002051	FBcv:0002050
