name	term_id	term_name	term_namespace	term_distance
root	root	root	root	0
4	4	Lyases	enzyme_commission	1
5	5	Isomerases	enzyme_commission	1
6	6	Ligases	enzyme_commission	1
1	1	Oxidoreductases	enzyme_commission	1
2	2	Transferases	enzyme_commission	1
3	3	Hydrolases	enzyme_commission	1
1.1	1.1	Acting on the CH-OH group of donors	enzyme_commission	2
1.10	1.10	Acting on diphenols and related substances as dono	enzyme_commission	2
1.11	1.11	Acting on a peroxide as acceptor	enzyme_commission	2
1.12	1.12	Acting on hydrogen as donor	enzyme_commission	2
1.13	1.13	Acting on single donors with incorporation of mole	enzyme_commission	2
1.14	1.14	Acting on paired donors, with incorporation or red	enzyme_commission	2
1.15	1.15	Acting on superoxide as acceptor	enzyme_commission	2
1.16	1.16	Oxidizing metal ions	enzyme_commission	2
1.17	1.17	Acting on CH or CH(2) groups	enzyme_commission	2
1.18	1.18	Acting on iron-sulfur proteins as donors	enzyme_commission	2
1.19	1.19	Acting on reduced flavodoxin as donor	enzyme_commission	2
1.2	1.2	Acting on the aldehyde or oxo group of donors	enzyme_commission	2
1.20	1.20	Acting on phosphorus or arsenic in donors	enzyme_commission	2
1.21	1.21	Acting on x-H and y-H to form an x-y bond	enzyme_commission	2
1.22	1.22	Acting on halogen in donors	enzyme_commission	2
1.3	1.3	Acting on the CH-CH group of donors	enzyme_commission	2
1.4	1.4	Acting on the CH-NH(2) group of donors	enzyme_commission	2
1.5	1.5	Acting on the CH-NH group of donors	enzyme_commission	2
1.6	1.6	Acting on NADH or NADPH	enzyme_commission	2
1.7	1.7	Acting on other nitrogenous compounds as donors	enzyme_commission	2
1.8	1.8	Acting on a sulfur group of donors	enzyme_commission	2
1.9	1.9	Acting on a heme group of donors	enzyme_commission	2
1.97	1.97	Other oxidoreductases	enzyme_commission	2
2.1	2.1	Transferring one-carbon groups	enzyme_commission	2
2.10	2.10	Transferring molybdenum- or tungsten-containing gr	enzyme_commission	2
2.2	2.2	Transferring aldehyde or ketone residues	enzyme_commission	2
2.3	2.3	Acyltransferases	enzyme_commission	2
2.4	2.4	Glycosyltransferases	enzyme_commission	2
2.5	2.5	Transferring alkyl or aryl groups, other than meth	enzyme_commission	2
2.6	2.6	Transferring nitrogenous groups	enzyme_commission	2
2.7	2.7	Transferring phosphorous-containing groups	enzyme_commission	2
2.8	2.8	Transferring sulfur-containing groups	enzyme_commission	2
2.9	2.9	Transferring selenium-containing groups	enzyme_commission	2
3.1	3.1	Acting on ester bonds	enzyme_commission	2
3.10	3.10	Acting on sulfur-nitrogen bonds	enzyme_commission	2
3.11	3.11	Acting on carbon-phosphorus bonds	enzyme_commission	2
3.12	3.12	Acting on sulfur-sulfur bonds	enzyme_commission	2
3.13	3.13	Acting on carbon-sulfur bonds	enzyme_commission	2
3.2	3.2	Glycosylases	enzyme_commission	2
3.3	3.3	Acting on ether bonds	enzyme_commission	2
3.4	3.4	Acting on peptide bonds (peptide hydrolases)	enzyme_commission	2
3.5	3.5	Acting on carbon-nitrogen bonds, other than peptid	enzyme_commission	2
3.6	3.6	Acting on acid anhydrides	enzyme_commission	2
3.7	3.7	Acting on carbon-carbon bonds	enzyme_commission	2
3.8	3.8	Acting on halide bonds	enzyme_commission	2
3.9	3.9	Acting on phosphorus-nitrogen bonds	enzyme_commission	2
4.1	4.1	Carbon-carbon lyases	enzyme_commission	2
4.2	4.2	Carbon-oxygen lyases	enzyme_commission	2
4.3	4.3	Carbon-nitrogen lyases	enzyme_commission	2
4.4	4.4	Carbon-sulfur lyases	enzyme_commission	2
4.5	4.5	Carbon-halide lyases	enzyme_commission	2
4.6	4.6	Phosphorus-oxygen lyases	enzyme_commission	2
4.99	4.99	Other lyases	enzyme_commission	2
5.1	5.1	Racemases and epimerases	enzyme_commission	2
5.2	5.2	Cis-trans-isomerases	enzyme_commission	2
5.3	5.3	Intramolecular oxidoreductases	enzyme_commission	2
5.4	5.4	Intramolecular transferases (mutases)	enzyme_commission	2
5.5	5.5	Intramolecular lyases	enzyme_commission	2
5.99	5.99	Other isomerases	enzyme_commission	2
6.1	6.1	Forming carbon-oxygen bonds	enzyme_commission	2
6.2	6.2	Forming carbon-sulfur bonds	enzyme_commission	2
6.3	6.3	Forming carbon-nitrogen bonds	enzyme_commission	2
6.4	6.4	Forming carbon-carbon bonds	enzyme_commission	2
6.5	6.5	Forming phosphoric ester bonds	enzyme_commission	2
6.6	6.6	Forming nitrogen-metal bonds	enzyme_commission	2
3.2.2	3.2.2	Hydrolyzing N-glycosyl compounds	enzyme_commission	3
3.3.1	3.3.1	Thioether and trialkylsulfonium hydrolases	enzyme_commission	3
3.3.2	3.3.2	Ether hydrolases	enzyme_commission	3
3.4.11	3.4.11	Aminopeptidases	enzyme_commission	3
3.4.13	3.4.13	Dipeptidases	enzyme_commission	3
3.4.14	3.4.14	Dipeptidyl-peptidases and tripeptidyl-peptidases	enzyme_commission	3
3.4.15	3.4.15	Peptidyl-dipeptidases	enzyme_commission	3
3.4.16	3.4.16	Serine-type carboxypeptidases	enzyme_commission	3
3.4.17	3.4.17	Metallocarboxypeptidases	enzyme_commission	3
3.4.18	3.4.18	Cysteine-type carboxypeptidases	enzyme_commission	3
3.4.19	3.4.19	Omega peptidases	enzyme_commission	3
3.4.21	3.4.21	Serine endopeptidases	enzyme_commission	3
3.4.22	3.4.22	Cysteine endopeptidases	enzyme_commission	3
3.4.23	3.4.23	Aspartic endopeptidases	enzyme_commission	3
3.4.24	3.4.24	Metalloendopeptidases	enzyme_commission	3
3.4.25	3.4.25	Threonine endopeptidases	enzyme_commission	3
3.4.99	3.4.99	Endopeptidases of unknown catalytic mechanism	enzyme_commission	3
3.5.1	3.5.1	In linear amides	enzyme_commission	3
3.5.2	3.5.2	In cyclic amides	enzyme_commission	3
3.5.3	3.5.3	In linear amidines	enzyme_commission	3
3.5.4	3.5.4	In cyclic amidines	enzyme_commission	3
3.5.5	3.5.5	In nitriles	enzyme_commission	3
3.5.99	3.5.99	In other compounds	enzyme_commission	3
3.6.1	3.6.1	In phosphorous-containing anhydrides	enzyme_commission	3
3.6.2	3.6.2	In sulfonyl-containing anhydrides	enzyme_commission	3
3.6.3	3.6.3	Acting on acid anhydrides; catalyzing transmembran	enzyme_commission	3
3.6.4	3.6.4	Acting on acid anhydrides; involved in cellular an	enzyme_commission	3
3.6.5	3.6.5	Acting on GTP; involved in cellular and subcellula	enzyme_commission	3
3.7.1	3.7.1	In ketonic substances	enzyme_commission	3
3.8.1	3.8.1	In C-halide compounds	enzyme_commission	3
3.9.1	3.9.1	Acting on phosphorus-nitrogen bonds	enzyme_commission	3
4.1.1	4.1.1	Carboxy-lyases	enzyme_commission	3
4.1.2	4.1.2	Aldehyde-lyases	enzyme_commission	3
4.1.3	4.1.3	Oxo-acid-lyases	enzyme_commission	3
4.1.99	4.1.99	Other carbon-carbon lyases	enzyme_commission	3
4.2.1	4.2.1	Hydro-lyases	enzyme_commission	3
4.2.2	4.2.2	Acting on polysaccharides	enzyme_commission	3
4.2.3	4.2.3	Acting on phosphates	enzyme_commission	3
4.2.99	4.2.99	Other carbon-oxygen lyases	enzyme_commission	3
4.3.1	4.3.1	Ammonia-lyases	enzyme_commission	3
4.3.2	4.3.2	Lyases acting on amides, amidines, etc	enzyme_commission	3
4.3.3	4.3.3	Amine-lyases	enzyme_commission	3
4.3.99	4.3.99	Other carbon-oxygen lyases	enzyme_commission	3
4.4.1	4.4.1	Carbon-sulfur lyases	enzyme_commission	3
4.5.1	4.5.1	Carbon-halide lyases	enzyme_commission	3
4.6.1	4.6.1	Phosphorus-oxygen lyases	enzyme_commission	3
4.99.1	4.99.1	Sole sub-subclass for lyases that do not belong in	enzyme_commission	3
5.1.1	5.1.1	Acting on amino acids and derivatives	enzyme_commission	3
5.1.2	5.1.2	Acting on hydroxy acids and derivatives	enzyme_commission	3
5.1.3	5.1.3	Acting on carbohydrates and derivatives	enzyme_commission	3
5.1.99	5.1.99	Acting on other compounds	enzyme_commission	3
5.2.1	5.2.1	Cis-trans Isomerases	enzyme_commission	3
5.3.1	5.3.1	Interconverting aldoses and ketoses, and related c	enzyme_commission	3
5.3.2	5.3.2	Interconverting keto- and enol- groups	enzyme_commission	3
5.3.3	5.3.3	Transposing C==C bonds	enzyme_commission	3
5.3.4	5.3.4	Transposing S-S bonds	enzyme_commission	3
5.3.99	5.3.99	Other intramolecular oxidoreductases	enzyme_commission	3
5.4.1	5.4.1	Transferring acyl groups	enzyme_commission	3
5.4.2	5.4.2	Phosphotransferases (phosphomutases)	enzyme_commission	3
5.4.3	5.4.3	Transferring amino groups	enzyme_commission	3
5.4.4	5.4.4	Transferring hydroxy groups	enzyme_commission	3
5.4.99	5.4.99	Transferring other groups	enzyme_commission	3
5.5.1	5.5.1	Intramolecular lyases	enzyme_commission	3
5.99.1	5.99.1	Sole sub-subclass for isomerases that do not belon	enzyme_commission	3
6.1.1	6.1.1	Ligases forming aminoacyl-tRNA and related compoun	enzyme_commission	3
6.1.2	6.1.2	Acid--alcohol ligases (ester synthases	enzyme_commission	3
6.2.1	6.2.1	Acid--thiol ligases	enzyme_commission	3
6.3.1	6.3.1	Acid--ammonia (or amide) ligases (amide synthases)	enzyme_commission	3
6.3.2	6.3.2	Acid--D-amino-acid ligases (peptide synthases)	enzyme_commission	3
6.3.3	6.3.3	Cyclo-ligases	enzyme_commission	3
6.3.4	6.3.4	Other carbon--nitrogen ligases	enzyme_commission	3
6.3.5	6.3.5	Carbon--nitrogen ligases with glutamine as amido-N	enzyme_commission	3
6.4.1	6.4.1	Ligases that form carbon-carbon bonds	enzyme_commission	3
6.5.1	6.5.1	Ligases that form phosphoric-ester bonds	enzyme_commission	3
6.6.1	6.6.1	Forming coordination complexes	enzyme_commission	3
1.1.1	1.1.1	With NAD(+) or NADP(+) as acceptor	enzyme_commission	3
1.1.2	1.1.2	With a cytochrome as acceptor	enzyme_commission	3
1.1.3	1.1.3	With oxygen as acceptor	enzyme_commission	3
1.1.4	1.1.4	With a disulfide as acceptor	enzyme_commission	3
1.1.5	1.1.5	With a quinone or similar compound as acceptor	enzyme_commission	3
1.1.9	1.1.9	With a copper protein as acceptor	enzyme_commission	3
1.1.98	1.1.98	With other, known, acceptors	enzyme_commission	3
1.1.99	1.1.99	With other acceptors	enzyme_commission	3
1.10.1	1.10.1	With NAD(+) or NADP(+) as acceptor	enzyme_commission	3
1.10.2	1.10.2	With a cytochrome as acceptor	enzyme_commission	3
1.10.3	1.10.3	With oxygen as acceptor	enzyme_commission	3
1.10.9	1.10.9	With a copper protein as acceptor	enzyme_commission	3
1.10.98	1.10.98	With other, known, acceptors	enzyme_commission	3
1.10.99	1.10.99	With other acceptors	enzyme_commission	3
1.11.1	1.11.1	Peroxidases	enzyme_commission	3
1.11.2	1.11.2	With H(2)O(2) as acceptor, one oxygen atom of whic	enzyme_commission	3
1.12.1	1.12.1	With NAD(+) or NADP(+) as acceptor	enzyme_commission	3
1.12.2	1.12.2	With a cytochrome as acceptor	enzyme_commission	3
1.12.5	1.12.5	With a quinone or similar compound as acceptor	enzyme_commission	3
1.12.7	1.12.7	With an iron-sulfur protein as acceptor	enzyme_commission	3
1.12.98	1.12.98	With other known acceptors	enzyme_commission	3
1.12.99	1.12.99	With other acceptors	enzyme_commission	3
1.13.11	1.13.11	With incorporation of two atoms of oxygen	enzyme_commission	3
1.13.12	1.13.12	With incorporation of one atom of oxygen	enzyme_commission	3
1.13.99	1.13.99	Miscellaneous (requires further characterization)	enzyme_commission	3
1.14.11	1.14.11	With 2-oxoglutarate as one donor, and incorporatio	enzyme_commission	3
1.14.12	1.14.12	With NADH or NADPH as one donor, and incorporation	enzyme_commission	3
1.14.13	1.14.13	With NADH or NADPH as one donor, and incorporation	enzyme_commission	3
1.14.14	1.14.14	With reduced flavin or flavoprotein as one donor, 	enzyme_commission	3
1.14.15	1.14.15	With a reduced iron-sulfur protein as one donor, a	enzyme_commission	3
1.14.16	1.14.16	With reduced pteridine as one donor, and incorpora	enzyme_commission	3
1.14.17	1.14.17	With reduced ascorbate as one donor, and incorpora	enzyme_commission	3
1.14.18	1.14.18	With another compound as one donor, and incorporat	enzyme_commission	3
1.14.19	1.14.19	With oxidation of a pair of donors resulting in th	enzyme_commission	3
1.14.20	1.14.20	With 2-oxoglutarate as one donor, and the other de	enzyme_commission	3
1.14.21	1.14.21	With NADH or NADPH as one donor, and the other deh	enzyme_commission	3
1.14.99	1.14.99	Miscellaneous (requires further characterization)	enzyme_commission	3
1.15.1	1.15.1	Acting on superoxide as acceptor	enzyme_commission	3
1.16.1	1.16.1	With NAD(+) or NADP(+) as acceptor	enzyme_commission	3
1.16.3	1.16.3	With oxygen as acceptor	enzyme_commission	3
1.16.5	1.16.5	With a quinone or similar compound as acceptor	enzyme_commission	3
1.16.8	1.16.8	With flavin as acceptor	enzyme_commission	3
1.16.9	1.16.9	With a copper protein as acceptor	enzyme_commission	3
1.16.98	1.16.98	With other known acceptors	enzyme_commission	3
1.17.1	1.17.1	With NAD(+) or NADP(+) as acceptor	enzyme_commission	3
1.17.2	1.17.2	With a cytochrome as acceptor	enzyme_commission	3
1.17.3	1.17.3	With oxygen as acceptor	enzyme_commission	3
1.17.4	1.17.4	With a disulfide as acceptor	enzyme_commission	3
1.17.5	1.17.5	With a quinone or similar compound as acceptor	enzyme_commission	3
1.17.7	1.17.7	With an iron-sulfur protein as acceptor	enzyme_commission	3
1.17.99	1.17.99	With other acceptors	enzyme_commission	3
1.18.1	1.18.1	With NAD(+) or NADP(+) as acceptor	enzyme_commission	3
1.18.6	1.18.6	With dinitrogen as acceptor	enzyme_commission	3
1.19.6	1.19.6	With dinitrogen as acceptor	enzyme_commission	3
1.2.1	1.2.1	With NAD(+) or NADP(+) as acceptor	enzyme_commission	3
1.2.2	1.2.2	With a cytochrome as acceptor	enzyme_commission	3
1.2.3	1.2.3	With oxygen as acceptor	enzyme_commission	3
1.2.4	1.2.4	With a disulfide as acceptor	enzyme_commission	3
1.2.5	1.2.5	With a quinone or similar compound as acceptor	enzyme_commission	3
1.2.7	1.2.7	With an iron-sulfur protein as acceptor	enzyme_commission	3
1.2.98	1.2.98	With other, known, acceptors	enzyme_commission	3
1.2.99	1.2.99	With other acceptors	enzyme_commission	3
1.20.1	1.20.1	With NAD(P)(+) as acceptor	enzyme_commission	3
1.20.2	1.20.2	With a cytochrome as acceptor	enzyme_commission	3
1.20.4	1.20.4	With disulfide as acceptor	enzyme_commission	3
1.20.9	1.20.9	With a copper protein as acceptor	enzyme_commission	3
1.20.98	1.20.98	With other, known acceptors	enzyme_commission	3
1.20.99	1.20.99	With other acceptors	enzyme_commission	3
1.21.3	1.21.3	With oxygen as acceptor	enzyme_commission	3
1.21.4	1.21.4	With a disulfide as acceptor	enzyme_commission	3
1.21.99	1.21.99	With other acceptors	enzyme_commission	3
1.22.1	1.22.1	With NAD(+) or NADP(+) as acceptor	enzyme_commission	3
1.3.1	1.3.1	With NAD(+) or NADP(+) as acceptor	enzyme_commission	3
1.3.2	1.3.2	With a cytochrome as acceptor	enzyme_commission	3
1.3.3	1.3.3	With oxygen as acceptor	enzyme_commission	3
1.3.5	1.3.5	With a quinone or related compound as acceptor	enzyme_commission	3
1.3.7	1.3.7	With an iron-sulfur protein as acceptor	enzyme_commission	3
1.3.8	1.3.8	With a flavin as acceptor	enzyme_commission	3
1.3.98	1.3.98	With other, known, acceptors	enzyme_commission	3
1.3.99	1.3.99	With other acceptors	enzyme_commission	3
1.4.1	1.4.1	With NAD(+) or NADP(+) as acceptor	enzyme_commission	3
1.4.2	1.4.2	With a cytochrome as acceptor	enzyme_commission	3
1.4.3	1.4.3	With oxygen as acceptor	enzyme_commission	3
1.4.4	1.4.4	With a disulfide as acceptor	enzyme_commission	3
1.4.5	1.4.5	With a quinone or similar compound as acceptor	enzyme_commission	3
1.4.7	1.4.7	With an iron-sulfur protein as acceptor	enzyme_commission	3
1.4.9	1.4.9	With a copper protein as acceptor	enzyme_commission	3
1.4.98	1.4.98	With other, known, acceptors	enzyme_commission	3
1.4.99	1.4.99	With other acceptors	enzyme_commission	3
1.5.1	1.5.1	With NAD(+) or NADP(+) as acceptor	enzyme_commission	3
1.5.3	1.5.3	With oxygen as acceptor	enzyme_commission	3
1.5.4	1.5.4	With a disulfide as acceptor	enzyme_commission	3
1.5.5	1.5.5	With a quinone or similar compound as acceptor	enzyme_commission	3
1.5.7	1.5.7	With an iron-sulfur protein as acceptor	enzyme_commission	3
1.5.8	1.5.8	With a flavin as acceptor	enzyme_commission	3
1.5.98	1.5.98	With other, known, acceptors	enzyme_commission	3
1.5.99	1.5.99	With other acceptors	enzyme_commission	3
1.6.1	1.6.1	With NAD(+) or NADP(+) as acceptor	enzyme_commission	3
1.6.2	1.6.2	With a heme protein as acceptor	enzyme_commission	3
1.6.3	1.6.3	With a oxygen as acceptor	enzyme_commission	3
1.6.5	1.6.5	With a quinone or similar compound as acceptor	enzyme_commission	3
1.6.6	1.6.6	With a nitrogenous group as acceptor	enzyme_commission	3
1.6.99	1.6.99	With other acceptors	enzyme_commission	3
1.7.1	1.7.1	With NAD(+) or NADP(+) as acceptor	enzyme_commission	3
1.7.2	1.7.2	With a cytochrome as acceptor	enzyme_commission	3
1.7.3	1.7.3	With oxygen as acceptor	enzyme_commission	3
1.7.5	1.7.5	With a quinone or similar compound as acceptor	enzyme_commission	3
1.7.6	1.7.6	With a nitrogenous group as acceptor	enzyme_commission	3
1.7.7	1.7.7	With an iron-sulfur protein as acceptor	enzyme_commission	3
1.7.9	1.7.9	With a copper protein as acceptor	enzyme_commission	3
1.7.99	1.7.99	With other acceptors	enzyme_commission	3
1.8.1	1.8.1	With NAD(+) or NADP(+) as acceptor	enzyme_commission	3
1.8.2	1.8.2	With a cytochrome as acceptor	enzyme_commission	3
1.8.3	1.8.3	With oxygen as acceptor	enzyme_commission	3
1.8.4	1.8.4	With a disulfide as acceptor	enzyme_commission	3
1.8.5	1.8.5	With a quinone or similar compound as acceptor	enzyme_commission	3
1.8.7	1.8.7	With an iron-sulfur protein as acceptor	enzyme_commission	3
1.8.98	1.8.98	With other, known, acceptors	enzyme_commission	3
1.8.99	1.8.99	With other acceptors	enzyme_commission	3
1.9.3	1.9.3	With oxygen as acceptor	enzyme_commission	3
1.9.6	1.9.6	With a nitrogenous group as acceptor	enzyme_commission	3
1.9.98	1.9.98	With other, known, acceptors	enzyme_commission	3
1.9.99	1.9.99	With other acceptors	enzyme_commission	3
1.97.1	1.97.1	Sole sub-subclass for oxidoreductases that do not 	enzyme_commission	3
2.1.1	2.1.1	Methyltransferases	enzyme_commission	3
2.1.2	2.1.2	Hydroxymethyl-, formyl- and related transferases	enzyme_commission	3
2.1.3	2.1.3	Carboxyl- and carbamoyltransferases	enzyme_commission	3
2.1.4	2.1.4	Amidinotransferases	enzyme_commission	3
2.10.1	2.10.1	Molybdenumtransferases or tungstentransferases wit	enzyme_commission	3
2.2.1	2.2.1	Transketolases and transaldolases	enzyme_commission	3
2.3.1	2.3.1	Transferring groups other than amino-acyl groups	enzyme_commission	3
2.3.2	2.3.2	Aminoacyltransferases	enzyme_commission	3
2.3.3	2.3.3	Acyl groups converted into alkyl on transfer	enzyme_commission	3
2.4.1	2.4.1	Hexosyltransferases	enzyme_commission	3
2.4.2	2.4.2	Pentosyltransferases	enzyme_commission	3
2.4.99	2.4.99	Transferring other glycosyl groups	enzyme_commission	3
2.5.1	2.5.1	Transferring alkyl or aryl groups, other than meth	enzyme_commission	3
2.6.1	2.6.1	Transaminases (aminotransferases)	enzyme_commission	3
2.6.3	2.6.3	Oximinotransferases	enzyme_commission	3
2.6.99	2.6.99	Transferring other nitrogenous groups	enzyme_commission	3
2.7.1	2.7.1	Phosphotransferases with an alcohol group as accep	enzyme_commission	3
2.7.10	2.7.10	Protein-tyrosine kinases	enzyme_commission	3
2.7.11	2.7.11	Protein-serine/threonine kinases	enzyme_commission	3
2.7.12	2.7.12	Dual-specificity kinases (those acting on Ser/Thr 	enzyme_commission	3
2.7.13	2.7.13	Protein-histidine kinases	enzyme_commission	3
