from	to
MESH:C	MESH:D000820
MESH:C	MESH:D001423
MESH:C	MESH:D001523
MESH:C	MESH:D002318
MESH:C	MESH:D004066
MESH:C	MESH:D004700
MESH:C	MESH:D005128
MESH:C	MESH:D005261
MESH:C	MESH:D006425
MESH:C	MESH:D007154
MESH:C	MESH:D007280
MESH:C	MESH:D009057
MESH:C	MESH:D009140
MESH:C	MESH:D009358
MESH:C	MESH:D009369
MESH:C	MESH:D009422
MESH:C	MESH:D009750
MESH:C	MESH:D009784
MESH:C	MESH:D010038
MESH:C	MESH:D010272
MESH:C	MESH:D012140
MESH:C	MESH:D013568
MESH:C	MESH:D014777
MESH:C	MESH:D014947
MESH:C	MESH:D017437
MESH:C	MESH:D052801
MESH:C	MESH:D064419
MESH:C535331	OMIM:100050
MESH:C535424	OMIM:612304
MESH:C535464	OMIM:217095
MESH:C535484	OMIM:613884
MESH:C535523	OMIM:271245
MESH:C535550	OMIM:260660
MESH:C535607	OMIM:251290
MESH:C535658	OMIM:201250
MESH:C535662	OMIM:231050
MESH:C535679	OMIM:180500
MESH:C535679	OMIM:601499
MESH:C535679	OMIM:602482
MESH:C535758	OMIM:113900
MESH:C535777	OMIM:246560
MESH:C535777	OMIM:313350
MESH:C535781	OMIM:277300
MESH:C535781	OMIM:608681
MESH:C535781	OMIM:609813
MESH:C535781	OMIM:613686
MESH:C535789	OMIM:143095
MESH:C536092	OMIM:300259
MESH:C536092	OMIM:607948
MESH:C536092	OMIM:607949
MESH:C536092	OMIM:611046
MESH:C536092	OMIM:612929
MESH:C536122	OMIM:257270
MESH:C536122	OMIM:300071
MESH:C536122	OMIM:310500
MESH:C536122	OMIM:613216
MESH:C536140	OMIM:215150
MESH:C536184	OMIM:129600
MESH:C536225	OMIM:219100
MESH:C536311	OMIM:174500
MESH:C536334	OMIM:604772
MESH:C536334	OMIM:611938
MESH:C536334	OMIM:614021
MESH:C536467	OMIM:277580
MESH:C536528	OMIM:604547
MESH:C536624	OMIM:181430
MESH:C536716	OMIM:225753
MESH:C536887	OMIM:613702
MESH:C537045	OMIM:103580
MESH:C537048	OMIM:267430
MESH:C537160	OMIM:146520
MESH:C537286	OMIM:261515
MESH:C537358	OMIM:613646
MESH:C537362	OMIM:242860
MESH:C537367	OMIM:252600
MESH:C537371	OMIM:277000
MESH:C537377	OMIM:253290
MESH:C537477	OMIM:603041
MESH:C537477	OMIM:613662
MESH:C537565	OMIM:277300
MESH:C537805	OMIM:261515
MESH:C537823	OMIM:614230
MESH:C537846	OMIM:607721
MESH:C537846	OMIM:613563
MESH:C538045	OMIM:613776
MESH:C538065	OMIM:136760
MESH:C538065	OMIM:613451
MESH:C538065	OMIM:613456
MESH:C538317	OMIM:600430
MESH:C538344	OMIM:256810
MESH:C538421	OMIM:256600
MESH:C538421	OMIM:610217
MESH:C538556	OMIM:261100
MESH:C538602	OMIM:252500
MESH:C539595	OMIM:607706
MESH:C548070	OMIM:277470
MESH:C548070	OMIM:612389
MESH:C548070	OMIM:612390
MESH:C562732	OMIM:138800
MESH:C562760	OMIM:163000
MESH:C562942	OMIM:109730
MESH:C562949	OMIM:601776
MESH:C562966	OMIM:613610
MESH:C563178	OMIM:109730
MESH:C563395	OMIM:601072
MESH:C563422	OMIM:613000
MESH:C564056	OMIM:313350
MESH:C564288	OMIM:612126
MESH:C565341	OMIM:601072
MESH:C565495	OMIM:239300
MESH:C565495	OMIM:614207
MESH:C566099	OMIM:186500
MESH:C566194	OMIM:113300
MESH:C566238	OMIM:108900
MESH:C566580	OMIM:602092
MESH:C567124	OMIM:225100
MESH:C580316	OMIM:182920
MESH:D000007	MESH:D006549
MESH:D000007	MESH:D013161
MESH:D000007	MESH:D013275
MESH:D000008	MESH:C535944
MESH:D000008	MESH:D010534
MESH:D000008	MESH:D012186
MESH:D000008	MESH:D058288
MESH:D000012	MESH:C540309
MESH:D000012	MESH:C564736
MESH:D000013	MESH:C535565
MESH:D000013	MESH:C535802
MESH:D000013	MESH:C536003
MESH:D000013	MESH:C536311
MESH:D000013	MESH:C536344
MESH:D000013	MESH:C536452
MESH:D000013	MESH:C536482
MESH:D000013	MESH:C536523
MESH:D000013	MESH:C536635
MESH:D000013	MESH:C537226
MESH:D000013	MESH:C537371
MESH:D000013	MESH:C537438
MESH:D000013	MESH:C537772
MESH:D000013	MESH:C537875
MESH:D000013	MESH:C538109
MESH:D000013	MESH:C538196
MESH:D000013	MESH:C538206
MESH:D000013	MESH:C562564
MESH:D000013	MESH:C562753
MESH:D000013	MESH:C563163
MESH:D000013	MESH:C563413
MESH:D000013	MESH:C563457
MESH:D000013	MESH:C563636
MESH:D000013	MESH:C563876
MESH:D000013	MESH:C564298
MESH:D000013	MESH:C564315
MESH:D000013	MESH:C564321
MESH:D000013	MESH:C564519
MESH:D000013	MESH:C564853
MESH:D000013	MESH:C565140
MESH:D000013	MESH:C566708
MESH:D000013	MESH:D000014
MESH:D000013	MESH:D000015
MESH:D000013	MESH:D000016
MESH:D000013	MESH:D004065
MESH:D000013	MESH:D005124
MESH:D000013	MESH:D009008
MESH:D000013	MESH:D009139
MESH:D000013	MESH:D009421
MESH:D000013	MESH:D012857
MESH:D000013	MESH:D012868
MESH:D000013	MESH:D014564
MESH:D000013	MESH:D015619
MESH:D000013	MESH:D018376
MESH:D000013	MESH:D018640
MESH:D000013	MESH:D025063
MESH:D000013	MESH:D044148
MESH:D000013	MESH:D050033
MESH:D000013	MESH:D058540
MESH:D000014	MESH:C535542
MESH:D000014	MESH:C535670
MESH:D000014	MESH:C536525
MESH:D000014	MESH:C536683
MESH:D000014	MESH:C537798
MESH:D000014	MESH:C537922
MESH:D000014	MESH:C538169
MESH:D000014	MESH:C538325
MESH:D000015	MESH:C535270
MESH:D000015	MESH:C535282
MESH:D000015	MESH:C535286
MESH:D000015	MESH:C535313
MESH:D000015	MESH:C535326
MESH:D000015	MESH:C535327
MESH:D000015	MESH:C535332
MESH:D000015	MESH:C535427
MESH:D000015	MESH:C535481
MESH:D000015	MESH:C535537
MESH:D000015	MESH:C535544
MESH:D000015	MESH:C535557
MESH:D000015	MESH:C535611
MESH:D000015	MESH:C535613
MESH:D000015	MESH:C535622
MESH:D000015	MESH:C535627
MESH:D000015	MESH:C535629
MESH:D000015	MESH:C535635
MESH:D000015	MESH:C535640
