SeqID	termID
100	HP:0000001
10000	HP:0000001
10002	HP:0000001
1001	HP:0000001
100144748	HP:0000001
100151683	HP:0000001
10019	HP:0000001
10020	HP:0000001
10021	HP:0000001
10046	HP:0000001
10049	HP:0000001
100506658	HP:0000001
10058	HP:0000001
10059	HP:0000001
10060	HP:0000001
10075	HP:0000001
10082	HP:0000001
10083	HP:0000001
10084	HP:0000001
10102	HP:0000001
10111	HP:0000001
10117	HP:0000001
10128	HP:0000001
1013	HP:0000001
10133	HP:0000001
10142	HP:0000001
10157	HP:0000001
10159	HP:0000001
10161	HP:0000001
10165	HP:0000001
10166	HP:0000001
10167	HP:0000001
1019	HP:0000001
10194	HP:0000001
10195	HP:0000001
10210	HP:0000001
10216	HP:0000001
10225	HP:0000001
10243	HP:0000001
10262	HP:0000001
10265	HP:0000001
10269	HP:0000001
1027	HP:0000001
1028	HP:0000001
10280	HP:0000001
1029	HP:0000001
10295	HP:0000001
103	HP:0000001
1030	HP:0000001
10312	HP:0000001
10319	HP:0000001
1032	HP:0000001
10329	HP:0000001
10342	HP:0000001
10345	HP:0000001
10370	HP:0000001
10371	HP:0000001
1038	HP:0000001
10381	HP:0000001
10397	HP:0000001
1041	HP:0000001
10436	HP:0000001
10456	HP:0000001
10461	HP:0000001
10479	HP:0000001
1048	HP:0000001
10483	HP:0000001
10484	HP:0000001
10491	HP:0000001
1050	HP:0000001
10516	HP:0000001
10518	HP:0000001
10528	HP:0000001
1053	HP:0000001
10535	HP:0000001
10555	HP:0000001
10558	HP:0000001
10559	HP:0000001
1056	HP:0000001
10560	HP:0000001
10564	HP:0000001
10568	HP:0000001
10577	HP:0000001
10585	HP:0000001
10587	HP:0000001
10594	HP:0000001
10599	HP:0000001
10653	HP:0000001
10655	HP:0000001
1066	HP:0000001
10661	HP:0000001
10667	HP:0000001
10682	HP:0000001
10683	HP:0000001
10686	HP:0000001
1071	HP:0000001
10717	HP:0000001
1073	HP:0000001
10743	HP:0000001
1075	HP:0000001
1080	HP:0000001
10801	HP:0000001
10804	HP:0000001
10806	HP:0000001
10841	HP:0000001
10847	HP:0000001
10908	HP:0000001
10913	HP:0000001
10939	HP:0000001
10984	HP:0000001
10999	HP:0000001
11005	HP:0000001
11019	HP:0000001
11023	HP:0000001
1103	HP:0000001
11041	HP:0000001
11078	HP:0000001
11081	HP:0000001
11093	HP:0000001
111	HP:0000001
11107	HP:0000001
11128	HP:0000001
11136	HP:0000001
11141	HP:0000001
11146	HP:0000001
11152	HP:0000001
11154	HP:0000001
11155	HP:0000001
11160	HP:0000001
11178	HP:0000001
11181	HP:0000001
11186	HP:0000001
1120	HP:0000001
11200	HP:0000001
1121	HP:0000001
11222	HP:0000001
1123	HP:0000001
11231	HP:0000001
11232	HP:0000001
11235	HP:0000001
11236	HP:0000001
112476	HP:0000001
11253	HP:0000001
112744	HP:0000001
112752	HP:0000001
11277	HP:0000001
112802	HP:0000001
11281	HP:0000001
11284	HP:0000001
11285	HP:0000001
1130	HP:0000001
1131	HP:0000001
11315	HP:0000001
113189	HP:0000001
11322	HP:0000001
113235	HP:0000001
113246	HP:0000001
113278	HP:0000001
1134	HP:0000001
1135	HP:0000001
1137	HP:0000001
1140	HP:0000001
1141	HP:0000001
1144	HP:0000001
1145	HP:0000001
114548	HP:0000001
1146	HP:0000001
114625	HP:0000001
114798	HP:0000001
114902	HP:0000001
115650	HP:0000001
116085	HP:0000001
1161	HP:0000001
116442	HP:0000001
116519	HP:0000001
117144	HP:0000001
1175	HP:0000001
117531	HP:0000001
117581	HP:0000001
1180	HP:0000001
1184	HP:0000001
118429	HP:0000001
1186	HP:0000001
1187	HP:0000001
1188	HP:0000001
118813	HP:0000001
1193	HP:0000001
1200	HP:0000001
1201	HP:0000001
