ID	Name	Namespace	Distance
KW:0001	2Fe-2S	Ligand	3
KW:0003	3Fe-4S	Ligand	3
KW:0004	4Fe-4S	Ligand	3
KW:0005	Acetoin biosynthesis	Biological_process	2
KW:0006	Acetoin catabolism	Biological_process	2
KW:0007	Acetylation	PTM	2
KW:0008	Acetylcholine receptor inhibiting toxin	Molecular_function	5
KW:0009	Actin-binding	Ligand	2
KW:0010	Activator	Molecular_function	2
KW:0011	Acute phase	Biological_process	2
KW:0012	Acyltransferase	Molecular_function	3
KW:0013	ADP-ribosylation	PTM	2
KW:0014	AIDS	Disease	2
KW:0015	Albinism	Disease	2
KW:0016	Alginate biosynthesis	Biological_process	2
KW:0017	Alkaloid metabolism	Biological_process	2
KW:0020	Allergen	Disease	2
KW:0022	Alpha-amylase inhibitor	Molecular_function	2
KW:0024	Alternative initiation	Coding_sequence_diversity	2
KW:0025	Alternative splicing	Coding_sequence_diversity	2
KW:0027	Amidation	PTM	2
KW:0028	Amino-acid biosynthesis	Biological_process	2
KW:0029	Amino-acid transport	Biological_process	3
KW:0030	Aminoacyl-tRNA synthetase	Molecular_function	3
KW:0031	Aminopeptidase	Molecular_function	4
KW:0032	Aminotransferase	Molecular_function	3
KW:0034	Amyloid	Cellular_component	2
KW:0035	Amyloplast	Cellular_component	3
KW:0037	Angiogenesis	Biological_process	2
KW:0038	Ectodermal dysplasia	Disease	2
KW:0039	Anion exchange	Biological_process	4
KW:0040	ANK repeat	Domain	2
KW:0041	Annexin	Domain	2
KW:0042	Antenna complex	Cellular_component	2
KW:0043	Tumor suppressor	Disease	2
KW:0044	Antibiotic	Molecular_function	3
KW:0045	Antibiotic biosynthesis	Biological_process	2
KW:0046	Antibiotic resistance	Biological_process	2
KW:0047	Antifreeze protein	Molecular_function	2
KW:0049	Antioxidant	Molecular_function	2
KW:0050	Antiport	Biological_process	3
KW:0051	Antiviral defense	Biological_process	2
KW:0052	Apoplast	Cellular_component	2
KW:0053	Apoptosis	Biological_process	2
KW:0054	Arabinose catabolism	Biological_process	3
KW:0055	Arginine biosynthesis	Biological_process	3
KW:0056	Arginine metabolism	Biological_process	2
KW:0057	Aromatic amino acid biosynthesis	Biological_process	3
KW:0058	Aromatic hydrocarbons catabolism	Biological_process	2
KW:0059	Arsenical resistance	Biological_process	2
KW:0060	Ascorbate biosynthesis	Biological_process	2
KW:0061	Asparagine biosynthesis	Biological_process	3
KW:0062	Aspartic protease inhibitor	Molecular_function	3
KW:0063	Aspartyl esterase	Molecular_function	3
KW:0064	Aspartyl protease	Molecular_function	4
KW:0066	ATP synthesis	Biological_process	2
KW:0067	ATP-binding	Ligand	3
KW:0068	Autocatalytic cleavage	PTM	2
KW:0070	Autoimmune uveitis	Disease	2
KW:0071	Autoinducer synthesis	Biological_process	2
KW:0072	Autophagy	Biological_process	2
KW:0073	Auxin biosynthesis	Biological_process	2
KW:0075	B-cell activation	Biological_process	2
KW:0076	Bacteriochlorophyll	Ligand	4
KW:0077	Bacteriochlorophyll biosynthesis	Biological_process	3
KW:0078	Bacteriocin	Molecular_function	4
KW:0079	Bacteriocin immunity	Biological_process	2
KW:0080	Bacteriocin transport	Biological_process	4
KW:0081	Bacteriolytic enzyme	Molecular_function	3
KW:0082	Bait region	Domain	2
KW:0084	Basement membrane	Cellular_component	4
KW:0085	Behavior	Biological_process	2
KW:0086	Bence-Jones protein	Molecular_function	2
KW:0089	Bile pigment	Ligand	3
KW:0090	Biological rhythms	Biological_process	2
KW:0091	Biomineralization	Biological_process	2
KW:0092	Biotin	Ligand	2
KW:0093	Biotin biosynthesis	Biological_process	2
KW:0094	Blood coagulation	Biological_process	3
