sunid	term	fdr	score
46548	KW:0001	0	46.03
46785	KW:0001	1.44e-12	8.63
47741	KW:0001	0	117.72
50022	KW:0001	0	213.1
50692	KW:0001	8.071e-14	10.94
52343	KW:0001	0	89.97
52833	KW:0001	0	32.35
53706	KW:0001	0	54.38
54292	KW:0001	0	305.26
54665	KW:0001	0	89.19
54862	KW:0001	0	59.28
55447	KW:0001	0	86.95
55961	KW:0001	0	47.55
56003	KW:0001	0	87.67
56176	KW:0001	0	23.46
56568	KW:0001	0	44.99
56821	KW:0001	0	77.73
63380	KW:0001	0	89.16
81502	KW:0001	0	80.32
82649	KW:0001	0	20.92
102114	KW:0001	0	132.12
103378	KW:0001	2.32e-16	29.9
46548	KW:0003	0	166.52
51395	KW:0003	0	31.92
54292	KW:0003	0	107.04
54862	KW:0003	0	75.41
56235	KW:0003	0	30.99
56770	KW:0003	0	52.45
69336	KW:0003	0	184.01
46548	KW:0004	0	90.49
48150	KW:0004	0	31.71
48310	KW:0004	0	17.14
50692	KW:0004	0	42.94
51717	KW:0004	0	72.7
51971	KW:0004	0	14.73
52016	KW:0004	0	111.26
53146	KW:0004	0	17.1
53323	KW:0004	6.791e-09	9.34
53335	KW:0004	0	9.31
53706	KW:0004	0	84.24
53732	KW:0004	0	145.92
53807	KW:0004	0	68.05
53920	KW:0004	0	50.23
54292	KW:0004	0	30.68
54862	KW:0004	0	192.53
55124	KW:0004	0	87.61
56014	KW:0004	0	145.55
56228	KW:0004	0	17.14
56770	KW:0004	0	147.52
56821	KW:0004	0	41.73
57652	KW:0004	0	31.73
57662	KW:0004	0	20.52
74778	KW:0004	0	14.48
81558	KW:0004	0	105.44
89360	KW:0004	0	36.1
102114	KW:0004	0	353.3
117457	KW:0004	5.573e-08	10
117916	KW:0004	0	50.99
140490	KW:0004	0	39.93
140914	KW:0004	0	28.97
142019	KW:0004	0	64.45
142754	KW:0004	0	91.37
142984	KW:0004	0	39.4
143548	KW:0004	1.189e-11	12.22
143975	KW:0004	0	143.34
117856	KW:0005	0	397.51
52768	KW:0006	4.697e-16	41.54
46458	KW:0007	0	49.55
46565	KW:0007	1.518e-09	6.91
46579	KW:0007	3.112e-11	8.64
46596	KW:0007	5.303e-05	4.34
46609	KW:0007	0.0006693	3.77
46626	KW:0007	0	16.19
46785	KW:0007	6.816e-12	7.46
46938	KW:0007	0.0009953	3.74
46942	KW:0007	7.159e-05	4.37
46966	KW:0007	5.775e-06	4.97
46977	KW:0007	0.0005916	4.01
46988	KW:0007	9.556e-06	4.85
47005	KW:0007	2.614e-06	6.14
47027	KW:0007	9.946e-11	7.64
47040	KW:0007	3.48e-07	8.56
47113	KW:0007	0	72.78
47195	KW:0007	0	18.33
47203	KW:0007	0	24.04
47216	KW:0007	9.182e-10	10.58
47370	KW:0007	0	20.56
47391	KW:0007	1.329e-05	4.83
47459	KW:0007	2.704e-07	5.56
47473	KW:0007	0	36.14
47576	KW:0007	5.191e-08	5.92
47616	KW:0007	0	17.39
47661	KW:0007	0	17.24
47676	KW:0007	4.269e-05	4.5
47719	KW:0007	4.39e-06	5.14
47874	KW:0007	0	28.89
47938	KW:0007	1.717e-06	7.63
48019	KW:0007	6.768e-06	5.53
48256	KW:0007	3.751e-05	4.97
48371	KW:0007	0	34.1
48439	KW:0007	2.35e-05	5.71
48445	KW:0007	0	20.26
48452	KW:0007	0	14.65
48464	KW:0007	0.0005006	3.65
48479	KW:0007	0	21.15
48508	KW:0007	0.0001166	4.05
48678	KW:0007	7.159e-05	4.37
48690	KW:0007	5.303e-05	4.34
49354	KW:0007	0	16.94
49417	KW:0007	9.22e-10	6.85
49695	KW:0007	2.543e-10	7.31
49749	KW:0007	8.841e-08	6.19
49764	KW:0007	0	25.28
49879	KW:0007	0.0002548	3.82
50129	KW:0007	0	9.74
50729	KW:0007	1.907e-06	4.97
50814	KW:0007	0.000276	3.78
50891	KW:0007	8.067e-14	8.72
50916	KW:0007	9.342e-05	4.29
50974	KW:0007	4.451e-11	9.85
50978	KW:0007	0	17.26
50989	KW:0007	9.556e-06	4.85
50993	KW:0007	7.46e-09	8.96
51230	KW:0007	0.0001387	4.17
51430	KW:0007	2.534e-09	7.48
51649	KW:0007	0	38.88
51703	KW:0007	8.106e-05	5.21
51730	KW:0007	0.000462	4.22
51735	KW:0007	0.0001379	3.92
52087	KW:0007	0.0004781	3.71
52490	KW:0007	0	14.72
52777	KW:0007	4.607e-05	4.35
53067	KW:0007	0.0002983	3.7
53784	KW:0007	3.387e-05	4.81
53901	KW:0007	0.0005363	3.67
54160	KW:0007	1.62e-11	7.71
54197	KW:0007	4.393e-07	5.74
54368	KW:0007	0.0005671	3.89
54373	KW:0007	0.0003877	3.83
54427	KW:0007	7.38e-06	4.96
54495	KW:0007	0	11.45
54529	KW:0007	5.303e-05	4.34
54585	KW:0007	1.165e-05	4.91
54719	KW:0007	0.0005653	3.84
54849	KW:0007	0.0002851	3.87
54928	KW:0007	0	36.03
54966	KW:0007	0	41.54
54984	KW:0007	3.226e-10	8.77
55154	KW:0007	0.0001293	4.96
55159	KW:0007	7.457e-09	7.89
55307	KW:0007	0	15.33
55331	KW:0007	5.989e-08	7.43
55455	KW:0007	0.0002748	4.16
55711	KW:0007	0.0007874	3.55
55718	KW:0007	9.079e-16	14.24
55729	KW:0007	1.746e-09	6.83
55753	KW:0007	0	18.33
55961	KW:0007	0.0003851	3.93
56366	KW:0007	1.684e-11	7.97
56529	KW:0007	4.891e-07	6.72
56645	KW:0007	0	23.86
56801	KW:0007	0	34.93
57667	KW:0007	1.342e-05	4.55
57716	KW:0007	0.0008232	3.45
57774	KW:0007	7.658e-05	5.01
57845	KW:0007	7.406e-12	7.76
57850	KW:0007	1.282e-13	7.97
57868	KW:0007	0	24
57903	KW:0007	0	19.76
57933	KW:0007	6.954e-05	5.46
58038	KW:0007	6.678e-09	6.49
58108	KW:0007	0	29.91
63451	KW:0007	1.31e-06	5.53
63570	KW:0007	0.0006993	4.02
63748	KW:0007	2.794e-08	6.14
64268	KW:0007	1.621e-06	5.23
64356	KW:0007	6.278e-06	4.96
64593	KW:0007	2.593e-13	8.26
69125	KW:0007	1.646e-12	8.19
69203	KW:0007	2.304e-06	5.36
69340	KW:0007	0.0001249	4.19
69572	KW:0007	4.611e-10	7.18
69645	KW:0007	5.303e-05	4.34
74853	KW:0007	1.787e-15	9.31
75553	KW:0007	9.079e-16	12.49
81338	KW:0007	0.0002574	3.86
81406	KW:0007	2.274e-13	8.69
81419	KW:0007	1.024e-09	10.18
81427	KW:0007	9.756e-09	6.54
81483	KW:0007	0	47.22
81508	KW:0007	1.107e-07	8.83
81531	KW:0007	0.0009781	3.44
81631	KW:0007	0.0002712	3.91
81811	KW:0007	0.0003918	4.15
81995	KW:0007	0.0001553	4.07
82704	KW:0007	0	27.79
82754	KW:0007	0.0005885	3.94
82919	KW:0007	0.0003538	4.2
89124	KW:0007	0.0007874	3.55
89817	KW:0007	9.601e-06	6.61
89895	KW:0007	1.484e-08	9.54
89942	KW:0007	9.756e-09	6.54
90096	KW:0007	0	22.39
90209	KW:0007	0.0001104	4.14
90250	KW:0007	0	24.46
90257	KW:0007	0.0006273	3.56
101278	KW:0007	4.762e-07	5.74
101576	KW:0007	4.44e-05	4.51
101908	KW:0007	0.0001486	4.13
102712	KW:0007	1.89e-06	5.41
102860	KW:0007	9.556e-06	4.85
103196	KW:0007	0.000243	4.63
103506	KW:0007	1.141e-09	7.33
103511	KW:0007	0	20.33
103652	KW:0007	4.032e-07	5.83
109728	KW:0007	9.612e-10	10.93
109732	KW:0007	0	11.82
109775	KW:0007	3.507e-05	4.59
109905	KW:0007	8.895e-07	5.63
110942	KW:0007	1.014e-05	5.07
111321	KW:0007	2.376e-14	14.51
111357	KW:0007	7.122e-12	13.02
117289	KW:0007	0.0003668	3.83
118203	KW:0007	4.762e-07	5.74
118310	KW:0007	3.66e-07	6.94
118375	KW:0007	4.114e-05	4.54
140106	KW:0007	0	12.95
143548	KW:0007	3.422e-07	7.63
144074	KW:0007	5.663e-05	4.45
158230	KW:0007	7.453e-12	12.47
158702	KW:0007	0.0008424	3.53
160481	KW:0007	0.0004446	3.76
161060	KW:0007	5.303e-05	4.34
161065	KW:0007	9.612e-10	10.93
161077	KW:0007	0	34.77
161240	KW:0007	8.841e-08	6.19
57302	KW:0008	1.674e-08	5.32
46966	KW:0009	0	94.64
47031	KW:0009	0	49.03
47050	KW:0009	0	69.57
47220	KW:0009	0	31.68
47473	KW:0009	0	45.66
47576	KW:0009	0	124.42
47769	KW:0009	4.147e-07	7.13
48350	KW:0009	0.0002031	4.63
48371	KW:0009	4.045e-05	4.66
48464	KW:0009	1.111e-06	7.58
48552	KW:0009	5.153e-07	9.16
48678	KW:0009	0	40.93
48726	KW:0009	3.782e-06	5.39
49265	KW:0009	1.326e-05	5.41
50044	KW:0009	0	48.37
50084	KW:0009	0	58.03
50156	KW:0009	0	20.21
50405	KW:0009	0	47.29
50729	KW:0009	0	38.94
50965	KW:0009	0	24.53
50974	KW:0009	8.564e-12	15.59
50978	KW:0009	0	12.09
51045	KW:0009	1.814e-10	11.07
52047	KW:0009	1.133e-09	8.87
52799	KW:0009	6.072e-05	5.04
53639	KW:0009	1.639e-09	9.03
54236	KW:0009	0	19.35
54695	KW:0009	0	19.19
55550	KW:0009	1.293e-07	7.5
55753	KW:0009	0	187.43
55770	KW:0009	0	215.5
56219	KW:0009	6.383e-15	14.72
57903	KW:0009	0.0002857	4.17
57997	KW:0009	0	64.35
69060	KW:0009	0	43.87
69103	KW:0009	0	51.6
69340	KW:0009	0	30.22
69645	KW:0009	0	65.8
75399	KW:0009	0	30.89
82754	KW:0009	0	28.22
90096	KW:0009	0	134.32
90250	KW:0009	0	57.85
90257	KW:0009	0	98.47
101278	KW:0009	0	35.94
101447	KW:0009	0	41.67
103657	KW:0009	1.031e-11	11.4
109885	KW:0009	0	37.22
117281	KW:0009	0	23.63
118370	KW:0009	0	55.92
143575	KW:0009	2.32e-16	30.01
46689	KW:0010	0	87.14
46774	KW:0010	1.927e-10	10.7
46785	KW:0010	0	69.65
46894	KW:0010	0	83.14
46955	KW:0010	2.936e-08	6.68
47040	KW:0010	6.79e-12	15.88
47095	KW:0010	0	62.04
47113	KW:0010	0	19.65
47370	KW:0010	0	30.06
47413	KW:0010	0	34.55
47454	KW:0010	0	37.96
47459	KW:0010	0	74.02
47655	KW:0010	0	46.99
47676	KW:0010	6.414e-07	7.38
47719	KW:0010	0	49.88
47769	KW:0010	2.06e-06	5.74
47954	KW:0010	0	16.74
47979	KW:0010	0	34.49
47986	KW:0010	0.000638	3.8
48008	KW:0010	0	37.49
48092	KW:0010	0	46.86
48371	KW:0010	0.0004384	3.64
48403	KW:0010	4.491e-11	7.97
48452	KW:0010	8.546e-08	6.1
48508	KW:0010	0	37.69
49417	KW:0010	0	76.26
49879	KW:0010	1.365e-08	7.66
50151	KW:0010	5.314e-14	18.1
51045	KW:0010	4.25e-08	7.44
51206	KW:0010	0	17.15
51215	KW:0010	0	55.25
51332	KW:0010	0	70.54
52172	KW:0010	0	54.24
53850	KW:0010	0	26.29
54160	KW:0010	0	19.59
54171	KW:0010	0	90.19
54277	KW:0010	9.107e-05	4.7
54447	KW:0010	0	22.65
54909	KW:0010	1.649e-08	7.59
54928	KW:0010	0	17.09
54957	KW:0010	0	72.59
55455	KW:0010	0	48.89
55464	KW:0010	2.848e-10	9.05
55550	KW:0010	4.437e-16	11.51
55729	KW:0010	3.233e-06	5.16
55781	KW:0010	1.001e-09	7.67
55785	KW:0010	0	43.67
56112	KW:0010	4.364e-06	4.83
56219	KW:0010	4.476e-12	9.99
57184	KW:0010	2.849e-09	7.56
57667	KW:0010	0	54.87
57701	KW:0010	0	64.1
57716	KW:0010	0	25.44
57783	KW:0010	2.985e-06	5.87
57850	KW:0010	1.137e-05	4.77
57879	KW:0010	5.228e-12	16.99
57903	KW:0010	0	17.87
57933	KW:0010	0	21.37
57959	KW:0010	0	103.12
63393	KW:0010	2.647e-10	10.94
63520	KW:0010	0	27.18
63592	KW:0010	0	54.11
68906	KW:0010	7.257e-11	10.23
69125	KW:0010	0	32.21
75516	KW:0010	0	41.99
81296	KW:0010	0	12.01
81822	KW:0010	0	20.23
82185	KW:0010	0.0003672	4.44
82199	KW:0010	0	21.08
82708	KW:0010	7.65e-05	5.38
82927	KW:0010	1.877e-11	12.46
90193	KW:0010	0	29.74
100939	KW:0010	1.85e-05	5.79
100957	KW:0010	0	32.01
101936	KW:0010	7.393e-05	4.73
101941	KW:0010	9.585e-05	5.24
102712	KW:0010	0.0002917	4.43
110217	KW:0010	0	22.13
111064	KW:0010	0	29.64
111430	KW:0010	0	19.13
140718	KW:0010	0	72.09
143870	KW:0010	0	32.44
144074	KW:0010	0	34.19
159042	KW:0010	1.198e-12	18.07
159141	KW:0010	4.487e-08	10.74
160481	KW:0010	0	24.03
160930	KW:0010	0	39.2
161229	KW:0010	0	74.08
161234	KW:0010	0	76.04
161240	KW:0010	0	25.55
47266	KW:0011	0	62.38
49265	KW:0011	1.674e-12	16.15
49899	KW:0011	9.093e-13	14.56
50494	KW:0011	0	29.41
50814	KW:0011	4.697e-16	22.88
56436	KW:0011	3.282e-11	14.76
56487	KW:0011	3.004e-14	31
56574	KW:0011	0	60.13
57440	KW:0011	0	53.07
57535	KW:0011	0	50.46
57603	KW:0011	0	47.09
57630	KW:0011	3.11e-13	26.04
47005	KW:0012	0	59.52
47370	KW:0012	2.87e-05	5.13
49309	KW:0012	0	37.71
51161	KW:0012	0	252.92
51230	KW:0012	0	26.7
51998	KW:0012	1.089e-06	6.33
52151	KW:0012	0	15.91
52317	KW:0012	0	14.35
52777	KW:0012	0	87.85
53067	KW:0012	0	70.65
53448	KW:0012	0	69.36
53474	KW:0012	0	36.99
53901	KW:0012	0	211.33
54001	KW:0012	8.847e-16	10.01
54160	KW:0012	1.98e-07	6.29
55048	KW:0012	0	28.87
55112	KW:0012	9.404e-13	10.09
55681	KW:0012	0	29.33
55718	KW:0012	1.322e-09	10.88
55729	KW:0012	0	237.92
56266	KW:0012	0	109.18
56317	KW:0012	0	42.95
56801	KW:0012	1.859e-12	8.91
56821	KW:0012	1.081e-05	5.47
56925	KW:0012	0	28.28
57933	KW:0012	1.861e-07	6.88
69125	KW:0012	1.485e-06	6.21
69593	KW:0012	0	120.06
110710	KW:0012	0	24.24
110857	KW:0012	0	28.67
47587	KW:0013	0	153.58
47895	KW:0013	0	37.18
48097	KW:0013	8.336e-07	8.5
49879	KW:0013	5.227e-06	7.2
50998	KW:0013	6.883e-06	7.46
51735	KW:0013	5.054e-09	7.58
52113	KW:0013	0	18.47
52540	KW:0013	0	21.06
53223	KW:0013	3.556e-07	7.89
55347	KW:0013	3.803e-11	10.83
56399	KW:0013	0	79.89
57716	KW:0013	1.591e-06	6.58
64593	KW:0013	5.292e-07	8.31
142921	KW:0013	0	152.14
46919	KW:0014	0	180.19
47353	KW:0014	0	211.72
47836	KW:0014	0	251.47
47943	KW:0014	0	247.63
50122	KW:0014	0	182.11
50630	KW:0014	0	93.22
53098	KW:0014	0	32.36
55671	KW:0014	0	248.38
56502	KW:0014	0	264.06
56672	KW:0014	0	47.94
57647	KW:0014	0	221.14
57756	KW:0014	0	195.02
58069	KW:0014	0	147.26
48056	KW:0015	0	105.02
48179	KW:0016	3.286e-08	10.85
51120	KW:0016	0	82.27
51126	KW:0016	0	45.25
52413	KW:0016	0	65.94
53448	KW:0016	1.566e-09	11.56
48264	KW:0017	2.982e-09	13.16
51197	KW:0017	4.11e-09	14.62
51430	KW:0017	0	45.53
53335	KW:0017	1.843e-12	11.39
55961	KW:0017	2.545e-10	18.65
63829	KW:0017	5.261e-14	38.41
47473	KW:0020	0	31.3
47699	KW:0020	0	67.43
48552	KW:0020	7.614e-05	4.61
48619	KW:0020	0.0002586	4.98
49590	KW:0020	0	34.11
49870	KW:0020	0	29.63
50685	KW:0020	0	28.62
50814	KW:0020	0	17.9
51126	KW:0020	5.059e-15	9.97
51604	KW:0020	6.705e-06	6.44
52743	KW:0020	0.0002426	4.18
52833	KW:0020	0.0001119	4.82
53474	KW:0020	2.645e-08	6.63
54826	KW:0020	4.692e-06	6.63
55770	KW:0020	0	241.6
55797	KW:0020	0	63.32
55961	KW:0020	0	41.76
57997	KW:0020	1.431e-08	7.09
81736	KW:0020	0	88.62
47699	KW:0022	0	110.71
49498	KW:0022	0	279.27
46565	KW:0024	5.992e-09	8.92
47852	KW:0024	0	239.03
48445	KW:0024	7.492e-06	7.88
53633	KW:0024	1.225e-05	6.35
55021	KW:0024	7.843e-09	10.16
55718	KW:0024	4.285e-09	12.41
56281	KW:0024	1.644e-05	6.49
57783	KW:0024	1.394e-05	7.95
75404	KW:0024	0	50.89
88633	KW:0024	3.014e-12	13.59
88648	KW:0024	0	42.43
118173	KW:0024	0	125.92
161240	KW:0024	0	80.5
46942	KW:0025	1.029e-05	6.34
47050	KW:0025	0	13.58
47060	KW:0025	3.897e-14	6.45
47370	KW:0025	9.142e-06	4.05
47473	KW:0025	8.475e-05	4.02
47592	KW:0025	1.864e-08	8.45
47769	KW:0025	5.684e-05	3.99
47923	KW:0025	2.298e-06	4.18
48065	KW:0025	6.169e-08	5.01
48145	KW:0025	0	40.55
48208	KW:0025	0.0005679	4.11
48350	KW:0025	2.694e-06	4.51
48371	KW:0025	7.236e-11	6.4
48403	KW:0025	0.0001964	3.82
48452	KW:0025	0.0007365	3.47
48508	KW:0025	8.608e-07	4.7
49265	KW:0025	2.098e-05	4.31
49562	KW:0025	2.694e-06	4.66
49899	KW:0025	2.827e-05	4.24
50044	KW:0025	1.436e-09	5.89
50156	KW:0025	2.268e-13	6.82
50729	KW:0025	0	63.7
50978	KW:0025	1.09e-09	5.97
50998	KW:0025	0.0001335	3.49
51045	KW:0025	1.552e-07	4.75
52799	KW:0025	0.0002369	3.67
54171	KW:0025	9.727e-06	3.7
54236	KW:0025	5.684e-05	4.06
54277	KW:0025	0.0002232	3.38
54495	KW:0025	0.000977	3.12
54511	KW:0025	0.0002267	5.18
54631	KW:0025	9.727e-06	3.7
54928	KW:0025	0	39.07
55464	KW:0025	2.766e-06	3.91
55804	KW:0025	0.000977	2.79
56112	KW:0025	6.69e-13	7.14
56491	KW:0025	5.012e-12	12.03
56784	KW:0025	1.962e-09	5.55
57593	KW:0025	3.506e-08	9.16
57716	KW:0025	7.488e-07	4.93
57798	KW:0025	5.594e-05	5.93
57850	KW:0025	1.686e-12	6.84
57903	KW:0025	2.242e-15	7.2
58002	KW:0025	1.267e-05	6.97
58038	KW:0025	0.0001773	3.29
63748	KW:0025	2.501e-08	5.08
63763	KW:0025	4.044e-14	12.23
69989	KW:0025	1.046e-13	13.2
75632	KW:0025	3.577e-05	5.58
81383	KW:0025	7.63e-07	4.73
81601	KW:0025	1.062e-06	8.04
81606	KW:0025	0.0002343	3.44
81653	KW:0025	0.000106	3.67
81660	KW:0025	0.0001785	3.53
81665	KW:0025	0.000232	3.52
81837	KW:0025	2.242e-15	13.33
82199	KW:0025	3.504e-07	4.63
88648	KW:0025	2.047e-05	5.54
89811	KW:0025	5.012e-12	12.03
90209	KW:0025	0.0001773	3.29
101156	KW:0025	0	40.85
101238	KW:0025	1.419e-05	6.66
101936	KW:0025	0.0007255	2.85
102712	KW:0025	0.000825	4.22
103657	KW:0025	0.0002347	3.57
109715	KW:0025	8.406e-07	7.91
109843	KW:0025	5.012e-12	12.03
117773	KW:0025	2.999e-08	9.5
118290	KW:0025	6.165e-09	8.27
140576	KW:0025	2.36e-06	7.64
143021	KW:0025	0	48.07
143503	KW:0025	4.337e-07	8.25
160481	KW:0025	3.488e-13	12.78
