sunid	term	fdr	score
46458	DOID:0050161	0.0007273	5.74
46458	DOID:0050177	0.0001516	5.28
46458	DOID:0050737	2.714e-06	7.86
46458	DOID:0050739	0.0001229	5.41
46458	DOID:0060071	0.0009914	5.42
46458	DOID:10241	3.487e-13	26.97
46458	DOID:14566	0.0007612	5.69
46458	DOID:1579	0.0007273	5.74
46458	DOID:2355	6.906e-06	8.17
46458	DOID:2914	6.906e-06	8.17
46458	DOID:552	0.0007273	5.74
46458	DOID:630	0.000305	4.87
46458	DOID:7	6.906e-06	8.17
46458	DOID:74	0.0002379	5.46
46458	DOID:850	0.0007273	5.74
46458	DOID:8719	0.0007612	5.69
46579	DOID:0050615	2.712e-08	26.65
46579	DOID:0050686	2.712e-08	26.65
46579	DOID:0050687	4.033e-06	12.36
46579	DOID:1324	2.712e-08	26.65
46579	DOID:14566	2.712e-08	26.65
46579	DOID:162	2.712e-08	26.65
46579	DOID:1800	4.033e-06	12.36
46579	DOID:305	4.033e-06	12.36
46579	DOID:3905	2.712e-08	26.65
46579	DOID:3908	2.712e-08	26.65
46579	DOID:4556	3.667e-07	18.77
46579	DOID:6658	2.712e-08	26.65
46689	DOID:0050686	0.0008939	5.95
46689	DOID:0060100	0.0008939	5.95
46689	DOID:14566	0.0008939	5.95
46689	DOID:162	0.0008939	5.95
46689	DOID:28	0.0001358	8.26
46689	DOID:3247	0.0008939	5.95
46689	DOID:4043	0.0008939	5.95
46689	DOID:4045	0.0008939	5.95
46689	DOID:4051	0.0008939	5.95
46689	DOID:53	0.0001358	8.26
46689	DOID:7	0.0001358	8.26
46689	DOID:9406	0.0001358	8.26
46966	DOID:16	0.0002276	6.25
46966	DOID:2723	0.0007977	5.9
46966	DOID:2731	0.0002276	6.25
46966	DOID:37	0.0002276	6.25
46966	DOID:440	7.416e-05	6.88
46966	DOID:7	1.631e-06	10.34
46966	DOID:8502	0.0007977	5.9
46966	DOID:863	1.631e-06	10.34
46966	DOID:870	1.631e-06	10.34
46966	DOID:913	1.631e-06	10.34
47005	DOID:0060049	0	17.75
47005	DOID:0060056	0	4.73
47005	DOID:12236	0	17.75
47005	DOID:2914	0	3.79
47005	DOID:3118	0	5.46
47005	DOID:409	0	5.58
47005	DOID:417	0	5.09
47005	DOID:5082	0	9.64
47005	DOID:7	0	1.52
47005	DOID:77	0	4.19
47031	DOID:0050686	0.0001563	6.94
47031	DOID:14566	0.0001563	6.94
47031	DOID:162	0.0001563	6.94
47031	DOID:3093	0.0001563	6.94
47031	DOID:3565	0.0001563	6.94
47031	DOID:3620	0.0001563	6.94
47090	DOID:0014667	0.0002744	6.99
47090	DOID:0050117	0.0003313	5.37
47090	DOID:0050155	2.488e-07	14.53
47090	DOID:0050161	1.562e-05	6.16
47090	DOID:0050338	0.0007273	5.31
47090	DOID:0050686	4.111e-08	14.16
47090	DOID:0050687	6.088e-08	14.51
47090	DOID:0050700	4.098e-06	9.08
47090	DOID:0050828	9.469e-07	12.52
47090	DOID:0060036	4.098e-06	9.08
47090	DOID:0060056	0.0001733	6.58
47090	DOID:0060072	0.0002394	5.34
47090	DOID:0060083	6.049e-05	6.24
47090	DOID:0060084	0.0002394	5.34
47090	DOID:0060100	4.111e-08	14.16
47090	DOID:0060122	8.101e-05	6.44
47090	DOID:0070004	6.049e-05	6.24
47090	DOID:0080000	2.078e-05	10.47
47090	DOID:0080001	0.0001673	5.24
47090	DOID:10155	0.0006636	4.47
47090	DOID:10223	2.078e-05	10.47
47090	DOID:10283	8.224e-07	9.36
47090	DOID:104	0.0003313	5.37
47090	DOID:1091	6.128e-09	12.14
47090	DOID:114	4.098e-06	9.08
47090	DOID:1168	0.0002744	6.99
47090	DOID:11729	0.0003313	5.37
47090	DOID:1176	0.0001519	6.68
47090	DOID:11830	2.488e-07	14.53
47090	DOID:120	7.837e-06	7.63
47090	DOID:1287	9.469e-07	12.52
47090	DOID:13378	2.169e-06	11.38
47090	DOID:1380	0.0001101	7.01
47090	DOID:14566	4.111e-08	14.51
47090	DOID:1492	2.488e-07	14.53
47090	DOID:15	3.825e-06	6.12
47090	DOID:1575	0.0001733	6.58
47090	DOID:1579	2.614e-05	5.23
47090	DOID:16	0.0003859	4.62
47090	DOID:1602	2.169e-06	11.38
47090	DOID:1612	0.0004722	4.91
47090	DOID:162	4.111e-08	14.51
47090	DOID:17	2.078e-05	10.47
47090	DOID:170	0.0004563	6.38
47090	DOID:178	9.469e-07	12.52
47090	DOID:1793	0.0004563	6.38
47090	DOID:193	2.905e-05	5.22
47090	DOID:1936	3.183e-05	6.66
47090	DOID:201	0.0006164	5.04
47090	DOID:2152	7.837e-06	7.63
47090	DOID:229	9.779e-08	9.01
47090	DOID:2320	1.292e-06	7.5
47090	DOID:2348	3.258e-05	6.64
47090	DOID:2349	3.183e-05	6.66
47090	DOID:2394	9.241e-06	7.51
47090	DOID:2531	6.049e-05	6.24
47090	DOID:263	8.587e-05	6.01
47090	DOID:2871	9.167e-05	7.19
47090	DOID:2914	2.169e-06	11.38
47090	DOID:305	3.333e-05	4.55
47090	DOID:3069	8.439e-05	6.02
47090	DOID:3070	6.088e-08	14.51
47090	DOID:3076	6.088e-08	14.51
47090	DOID:3119	6.185e-05	7.58
47090	DOID:3146	0.0004215	6.48
47090	DOID:3342	0.0002387	5.04
47090	DOID:3371	4.111e-08	14.16
47090	DOID:3498	0.0004563	6.38
47090	DOID:3571	0.0009268	4.29
47090	DOID:3627	9.469e-07	12.52
47090	DOID:363	9.167e-05	7.19
47090	DOID:37	0.0003859	4.62
47090	DOID:3856	8.224e-07	9.36
47090	DOID:3996	1.79e-05	7.05
47090	DOID:403	0.0004643	4.28
47090	DOID:4074	0.0004563	6.38
47090	DOID:417	0.0001733	6.58
47090	DOID:419	0.0001733	6.58
47090	DOID:423	2.078e-05	10.47
47090	DOID:4450	1.79e-05	7.05
47090	DOID:4451	3.964e-05	6.52
47090	DOID:4606	6.185e-05	7.58
47090	DOID:4607	0.000801	4.4
47090	DOID:4866	6.392e-05	7.43
47090	DOID:4896	6.185e-05	7.58
47090	DOID:4897	6.185e-05	7.58
47090	DOID:4905	0.0004563	6.38
47090	DOID:4960	6.049e-05	6.24
47090	DOID:5093	0.0004722	4.91
47090	DOID:520	0.0002853	5.53
47090	DOID:5614	2.488e-07	14.53
47090	DOID:5672	0.0006704	4.46
47090	DOID:6050	1.187e-05	9.31
47090	DOID:633	0.0002882	6.93
47090	DOID:65	0.0001733	6.58
47090	DOID:655	0.0002744	6.99
47090	DOID:66	2.078e-05	10.47
47090	DOID:686	0.0009268	4.29
47090	DOID:7	6.128e-09	14.53
47090	DOID:75	0.0005005	4.84
47090	DOID:7693	9.469e-07	12.52
47090	DOID:77	3.969e-06	6.03
47090	DOID:848	0.0001673	5.24
47090	DOID:850	1.479e-05	6.19
47090	DOID:854	0.0002276	6.33
47090	DOID:8574	0.0003859	4.62
47090	DOID:863	2.488e-07	14.53
47090	DOID:9206	1.187e-05	9.31
47090	DOID:9256	0.0006636	4.47
47090	DOID:9563	0.0001519	6.68
47090	DOID:9835	9.647e-05	5.62
47090	DOID:9942	3.124e-06	10.91
47095	DOID:0050687	1.942e-05	10.87
47095	DOID:14566	1.942e-05	10.87
47095	DOID:162	1.942e-05	10.87
47095	DOID:2994	1.942e-05	10.87
47095	DOID:3304	6.024e-05	9.19
47095	DOID:3308	1.942e-05	10.87
47095	DOID:4440	6.024e-05	9.19
47095	DOID:688	1.942e-05	10.87
47216	DOID:14566	0	1.19
47216	DOID:162	0	1.22
47266	DOID:0014667	0.000402	4.32
47266	DOID:0050013	0.0001781	4.84
47266	DOID:0050117	9.539e-09	7.04
47266	DOID:0050136	5.362e-07	18.25
47266	DOID:0050155	4.874e-05	8.6
47266	DOID:0050161	3.826e-12	9.8
47266	DOID:0050292	5.362e-07	18.25
47266	DOID:0050339	0.0007499	6.06
47266	DOID:0050589	1.253e-07	8.25
47266	DOID:0050686	0.0002056	3.49
47266	DOID:0050743	0.0005449	6.41
47266	DOID:0050749	0.0005449	6.41
47266	DOID:0060031	6.758e-07	9.49
47266	DOID:0060037	7.004e-05	7.84
47266	DOID:0060038	7.004e-05	7.84
47266	DOID:0060056	6.758e-07	9.49
47266	DOID:0060058	0.0005449	6.41
47266	DOID:0060061	0.0005449	6.41
47266	DOID:0060083	3.921e-07	6.41
47266	DOID:0060100	0.0003436	6.97
47266	DOID:0060158	0.0001781	4.84
47266	DOID:0080000	6.247e-05	6.12
47266	DOID:0080001	8.041e-07	7.01
47266	DOID:10113	8.582e-07	13.34
47266	DOID:104	0.0007499	6.06
47266	DOID:10608	6.758e-07	9.49
47266	DOID:1074	0.0004429	4.93
47266	DOID:10754	0.0001175	8.35
47266	DOID:1091	9.129e-10	11.19
47266	DOID:1116	0.0007499	6.06
47266	DOID:11335	0.0001021	6.81
47266	DOID:1168	0.0009761	5.31
47266	DOID:11963	0.0003039	7.13
47266	DOID:12140	8.582e-07	13.34
47266	DOID:1229	6.718e-05	8.19
47266	DOID:1247	2.19e-07	9.07
47266	DOID:12662	5.362e-07	18.25
47266	DOID:1289	1.201e-07	8.27
47266	DOID:1395	2.093e-08	16.12
47266	DOID:1398	1.087e-05	5.91
47266	DOID:1400	4.874e-05	8.6
47266	DOID:14566	3.921e-07	6.97
47266	DOID:1492	4.874e-05	8.6
47266	DOID:150	6.718e-05	8.19
47266	DOID:1561	6.718e-05	8.19
47266	DOID:1564	5.362e-07	18.25
47266	DOID:1579	2.614e-08	6.93
47266	DOID:16	0.0001563	4.79
47266	DOID:162	3.921e-07	6.97
47266	DOID:17	8.041e-07	7.01
47266	DOID:18	1.699e-05	6.05
47266	DOID:201	0.0003436	6.97
47266	DOID:2115	4.775e-05	8.24
47266	DOID:2163	1.686e-06	8.81
47266	DOID:2213	2.19e-07	9.07
47266	DOID:225	0.0001231	4.56
47266	DOID:2377	1.201e-07	8.27
47266	DOID:2468	6.718e-05	8.19
47266	DOID:2473	2.028e-06	10.42
47266	DOID:2531	3.921e-07	6.24
47266	DOID:2583	4.775e-05	8.24
47266	DOID:2723	0.0007146	3.45
47266	DOID:2742	0.0001175	8.35
47266	DOID:2789	8.582e-07	13.34
47266	DOID:2825	2.774e-06	8.46
47266	DOID:2914	1.579e-06	5.41
47266	DOID:2916	0.0001021	6.81
47266	DOID:3146	0.0009761	5.31
47266	DOID:3213	1.201e-07	8.27
47266	DOID:331	4.033e-06	5.72
47266	DOID:3342	8.041e-07	7.01
47266	DOID:3388	2.431e-10	11.95
47266	DOID:349	0.0008279	5.96
47266	DOID:350	0.0003436	6.97
47266	DOID:37	1.638e-07	7.45
47266	DOID:403	2.431e-10	11.95
47266	DOID:417	6.758e-07	9.49
47266	DOID:4194	0.0001781	4.84
47266	DOID:4481	1.418e-06	8.94
47266	DOID:4483	1.418e-06	8.94
47266	DOID:4676	0.0004429	4.93
47266	DOID:4798	0.0003436	6.97
47266	DOID:5100	0.0001175	8.35
47266	DOID:5295	1.253e-07	8.25
47266	DOID:5419	6.718e-05	8.19
47266	DOID:557	1.699e-05	6.05
47266	DOID:5614	4.874e-05	8.6
47266	DOID:6050	0.0003039	7.13
47266	DOID:612	4.775e-05	8.24
47266	DOID:620	4.775e-05	8.24
47266	DOID:655	0.0009761	5.31
47266	DOID:66	6.247e-05	6.12
47266	DOID:7	3.656e-07	4.75
47266	DOID:7148	8.041e-07	7.01
47266	DOID:74	2.19e-07	9.07
47266	DOID:77	7.789e-06	5.23
47266	DOID:848	8.041e-07	7.01
47266	DOID:850	3.826e-12	9.8
47266	DOID:8541	0.0005449	6.41
47266	DOID:8622	0.0004887	5.28
47266	DOID:863	1.201e-07	8.6
47266	DOID:8670	7.004e-05	7.84
47266	DOID:8689	7.004e-05	7.84
47266	DOID:883	2.093e-08	16.12
47266	DOID:934	0.0004887	5.28
47266	DOID:9351	0.0001781	4.84
47266	DOID:9500	0.0003436	6.97
47266	DOID:974	1.418e-06	8.94
47336	DOID:14566	0	1.19
47336	DOID:162	0	1.22
47353	DOID:14566	0	1.54
47370	DOID:0050117	0.0005752	6.27
47370	DOID:643	0.0005752	6.27
47370	DOID:934	0.0005752	6.27
47454	DOID:0050686	0.0001732	4.57
47454	DOID:0060083	0.000184	4.54
47454	DOID:14566	0.0001732	4.57
47454	DOID:162	0.0001732	4.57
47454	DOID:2531	0.0001732	4.57
47459	DOID:0050686	6.292e-07	7.14
47459	DOID:0060037	0.000365	6.96
47459	DOID:0060040	0.000365	6.96
47459	DOID:1192	1.214e-06	6.89
47459	DOID:1206	0.000365	6.96
47459	DOID:14566	6.292e-07	7.14
47459	DOID:150	0.000365	6.96
47459	DOID:162	6.292e-07	7.14
47459	DOID:2621	6.292e-07	7.14
47459	DOID:3093	6.292e-07	7.14
47473	DOID:0050686	0.000548	6.49
47473	DOID:0060122	0.000548	6.49
47473	DOID:14566	0.000548	6.49
47473	DOID:162	0.000548	6.49
47473	DOID:3149	0.000548	6.49
47473	DOID:3151	0.000548	6.49
47473	DOID:3451	0.000548	6.49
47473	DOID:4159	0.000548	6.49
47576	DOID:440	8.587e-05	6.98
47576	DOID:7	8.587e-05	6.98
47576	DOID:863	8.587e-05	6.98
47576	DOID:870	8.587e-05	6.98
47576	DOID:913	8.587e-05	6.98
47616	DOID:0050155	0.0004054	6.63
47616	DOID:0060056	0.0003833	6.69
47616	DOID:1184	0.0002289	7.32
47616	DOID:11963	1.493e-06	15.52
47616	DOID:12306	0.0003833	6.69
47616	DOID:12449	0.0004783	6.43
47616	DOID:1287	0.0007615	5.92
47616	DOID:13241	0.0007615	5.92
47616	DOID:13976	1.493e-06	15.52
47616	DOID:1492	0.0004054	6.63
47616	DOID:178	0.0007615	5.92
