Feature_id	Term_id	Score
IPR014743	HP:0000004	3.25
IPR001807	HP:0000004	3.25
IPR006620	HP:0000005	0.69
IPR023608	HP:0000005	0.63
IPR000679	HP:0000005	0.74
IPR018000	HP:0000005	1.01
IPR016243	HP:0000005	0.63
IPR016243	HP:0000006	2.67
IPR010294	HP:0000005	0.63
IPR010294	HP:0000007	1.76
IPR001356	HP:0000006	3.98
IPR002928	HP:0000005	0.69
IPR002928	HP:0000006	2.92
IPR005123	HP:0000005	0.69
IPR001320	HP:0000005	0.63
IPR011011	HP:0000005	1.29
IPR017927	HP:0000005	0.63
IPR005481	HP:0000005	0.63
IPR005481	HP:0000007	1.76
IPR018980	HP:0000005	0.69
IPR000294	HP:0000005	0.74
IPR017970	HP:0000006	3.51
IPR006211	HP:0000005	0.63
IPR006211	HP:0000007	1.76
IPR017448	HP:0000005	0.69
IPR017946	HP:0000005	0.63
IPR023796	HP:0000005	1.01
IPR017850	HP:0000005	0.97
IPR014710	HP:0000005	1.05
IPR002645	HP:0000005	0.63
IPR011009	HP:0000006	3.57
IPR011009	HP:0003745	4.7
IPR002067	HP:0000005	0.69
IPR002067	HP:0000007	1.93
IPR018490	HP:0000005	0.84
IPR018029	HP:0000005	1.16
IPR004009	HP:0000005	0.69
IPR009071	HP:0000005	0.8
IPR011042	HP:0000005	1.01
IPR009075	HP:0000005	0.84
IPR009075	HP:0000007	2.36
IPR001711	HP:0000005	0.63
IPR002198	HP:0000005	0.97
IPR001807	HP:0000005	0.63
IPR003968	HP:0000005	0.63
IPR001508	HP:0000005	0.63
IPR001828	HP:0000005	0.93
IPR000198	HP:0000005	0.8
IPR001111	HP:0000005	0.97
IPR001111	HP:0000006	3.54
IPR017956	HP:0000005	0.8
IPR001965	HP:0000005	1.09
IPR000073	HP:0000005	0.63
IPR003654	HP:0000005	0.89
IPR027401	HP:0000005	0.74
IPR027401	HP:0000006	3.15
IPR001849	HP:0000005	1.69
IPR018488	HP:0000005	0.74
IPR002068	HP:0000005	0.63
IPR002068	HP:0000006	2.67
IPR027361	HP:0000005	0.8
IPR011993	HP:0000005	1.95
IPR004001	HP:0000005	0.63
IPR004001	HP:0000006	2.67
IPR009050	HP:0000005	0.84
IPR009050	HP:0000006	3.58
IPR002919	HP:0000005	0.63
IPR002919	HP:0000007	1.76
IPR005479	HP:0000005	0.63
IPR005479	HP:0000007	1.76
IPR019821	HP:0000005	0.84
IPR019821	HP:0000006	3.58
IPR003131	HP:0000005	0.74
IPR003054	HP:0001425	5.19
IPR003054	HP:0000006	3.65
IPR006029	HP:0000005	1.01
IPR002337	HP:0000005	0.63
IPR002337	HP:0000006	2.67
IPR001073	HP:0000005	0.69
IPR015359	HP:0000005	0.63
IPR000500	HP:0000005	0.89
IPR000500	HP:0000006	3.13
IPR025875	HP:0000005	0.63
IPR025875	HP:0000006	2.67
IPR008250	HP:0000005	0.93
IPR008145	HP:0000005	0.63
IPR003008	HP:0000005	0.74
IPR000716	HP:0000005	0.63
IPR000716	HP:0000007	1.76
IPR000233	HP:0000005	0.8
IPR018056	HP:0000005	0.74
IPR003644	HP:0000005	0.63
IPR003644	HP:0000007	1.76
IPR011701	HP:0000005	1.01
IPR008958	HP:0000005	0.63
IPR016449	HP:0000005	0.69
IPR013328	HP:0000005	0.63
IPR001623	HP:0000005	0.69
IPR004020	HP:0000005	0.63
IPR005135	HP:0000005	0.63
IPR018378	HP:0000005	0.69
IPR015424	HP:0000005	1.01
IPR006202	HP:0000005	1.01
IPR008266	HP:0001428	5.03
IPR008266	HP:0000006	3.51
IPR019787	HP:0000005	1.01
IPR017441	HP:0000006	3.99
IPR017441	HP:0003745	5.07
IPR018039	HP:0001425	5.62
IPR018039	HP:0000006	5.55
IPR006091	HP:0000005	0.84
IPR006091	HP:0000007	2.36
IPR001192	HP:0000005	0.63
IPR019750	HP:0000005	0.69
IPR001752	HP:0000005	0.84
IPR001752	HP:0000006	3.58
IPR000494	HP:0000005	0.63
IPR000494	HP:0000007	1.76
IPR027359	HP:0000005	1.19
IPR016181	HP:0000005	0.63
IPR002423	HP:0000005	0.69
IPR013069	HP:0000005	0.84
IPR023174	HP:0000005	0.69
IPR013816	HP:0000005	0.74
IPR016024	HP:0001428	4.62
IPR000217	HP:0000005	0.74
IPR010909	HP:0000005	0.69
IPR010909	HP:0000007	1.93
IPR002957	HP:0000006	3.12
IPR018316	HP:0000005	0.74
IPR007111	HP:0000005	0.69
IPR019786	HP:0000005	0.89
IPR023299	HP:0000005	0.93
IPR002347	HP:0000005	0.97
IPR000315	HP:0000005	0.74
IPR002018	HP:0000005	0.63
IPR001202	HP:0000005	0.69
IPR001442	HP:0000005	0.69
IPR023088	HP:0000005	0.69
IPR015421	HP:0000005	1.01
IPR006089	HP:0000005	0.8
IPR006089	HP:0000007	2.23
IPR012292	HP:0000005	0.84
IPR012292	HP:0000006	3.58
IPR002073	HP:0000005	0.69
IPR001824	HP:0000005	0.74
IPR001824	HP:0000006	3.15
IPR009053	HP:0000005	0.63
IPR011511	HP:0000005	0.69
IPR003960	HP:0000005	0.69
IPR027409	HP:0000005	0.63
IPR005828	HP:0000005	0.69
IPR011333	HP:0000005	1.13
IPR011024	HP:0000005	0.84
IPR000504	HP:0000005	1.13
IPR003619	HP:0000005	0.63
IPR003619	HP:0000006	2.67
IPR001609	HP:0000005	1.05
IPR008936	HP:0000005	0.93
IPR019570	HP:0000005	0.89
IPR019570	HP:0000006	3.13
IPR002931	HP:0000005	0.69
IPR009122	HP:0000005	0.63
IPR001757	HP:0000005	0.93
IPR000210	HP:0000005	1.09
IPR000909	HP:0000005	0.63
IPR027397	HP:0000005	0.8
IPR001245	HP:0000006	3.77
IPR013808	HP:0000005	0.63
IPR006092	HP:0000005	0.8
IPR006092	HP:0000007	2.23
IPR000175	HP:0000005	0.69
IPR017857	HP:0000005	0.69
IPR020904	HP:0000005	0.8
IPR000644	HP:0000005	0.89
IPR001978	HP:0000005	0.63
IPR013518	HP:0000005	0.69
IPR010526	HP:0000005	0.69
IPR010526	HP:0000006	2.92
IPR006195	HP:0000005	0.74
IPR016185	HP:0000005	0.74
IPR026823	HP:0000005	0.93
IPR005821	HP:0000006	4.86
IPR006068	HP:0000005	0.69
IPR000885	HP:0000005	0.8
IPR000885	HP:0000006	3.37
IPR001696	HP:0000005	0.69
IPR001696	HP:0000006	2.92
IPR006201	HP:0000005	1.01
IPR002077	HP:0000005	0.63
IPR019749	HP:0000005	1.05
IPR001436	HP:0000005	0.63
IPR001436	HP:0000006	2.67
IPR014743	HP:0000005	0.63
IPR015615	HP:0000006	3.44
IPR020067	HP:0000005	0.69
IPR001664	HP:0001425	5.48
IPR001664	HP:0000006	5.69
IPR014720	HP:0000005	0.63
IPR014352	HP:0000005	0.93
IPR013815	HP:0000005	0.69
IPR002126	HP:0000005	1.05
IPR000488	HP:0000005	0.97
IPR000971	HP:0000005	0.84
IPR000971	HP:0000006	3.58
IPR017938	HP:0000005	0.63
IPR024583	HP:0000005	0.63
IPR024583	HP:0000006	2.67
IPR008927	HP:0000005	0.69
IPR002350	HP:0000005	0.97
IPR002350	HP:0000007	2.73
IPR019594	HP:0000005	0.63
IPR000472	HP:0000005	0.74
IPR017849	HP:0000005	0.97
IPR015422	HP:0000005	0.89
IPR009100	HP:0000005	0.84
IPR009100	HP:0000007	2.36
IPR000917	HP:0000005	0.8
IPR013806	HP:0000005	0.93
IPR008978	HP:0000005	0.69
IPR000048	HP:0000005	1.43
IPR017455	HP:0000005	0.69
IPR027640	HP:0000005	0.84
IPR027640	HP:0000006	3.58
IPR000433	HP:0000005	0.63
IPR000299	HP:0000005	0.97
IPR023298	HP:0000005	0.69
IPR011545	HP:0000005	0.8
IPR008993	HP:0000005	0.63
IPR003959	HP:0000005	0.84
IPR000033	HP:0000005	0.69
IPR001190	HP:0000005	0.63
IPR000089	HP:0000005	0.74
IPR000089	HP:0000007	2.08
IPR013786	HP:0000005	0.84
IPR013786	HP:0000007	2.36
IPR001251	HP:0000005	0.63
IPR008976	HP:0000005	0.74
IPR023395	HP:0000005	0.84
IPR023395	HP:0000007	2.36
IPR020894	HP:0000005	0.97
IPR005829	HP:0000005	0.69
IPR000595	HP:0000005	0.89
IPR011053	HP:0000005	0.8
IPR011053	HP:0000007	2.23
IPR012337	HP:0000005	0.63
IPR017975	HP:0000005	0.74
IPR024607	HP:0000005	0.74
IPR027413	HP:0000005	0.63
IPR027413	HP:0000007	1.76
IPR008928	HP:0000005	0.8
IPR001064	HP:0000005	0.84
IPR015919	HP:0000005	1.09
IPR000306	HP:0000005	0.69
IPR000719	HP:0000006	3.74
IPR000719	HP:0003745	4.14
IPR002394	HP:0000005	0.74
IPR006652	HP:0000005	0.74
IPR000253	HP:0000005	0.74
IPR014729	HP:0000005	0.97
IPR017981	HP:0000005	0.69
IPR009057	HP:0000006	4.11
IPR003607	HP:0000005	0.74
IPR017878	HP:0000005	0.63
IPR023123	HP:0000005	0.74
IPR004014	HP:0000005	0.74
IPR001024	HP:0000005	0.74
IPR014873	HP:0000005	0.63
IPR003579	HP:0000005	0.74
IPR023795	HP:0000005	1.01
IPR019747	HP:0000005	0.74
IPR013273	HP:0000005	0.69
IPR013273	HP:0000007	1.93
IPR003110	HP:0000005	0.69
IPR003110	HP:0000007	1.93
IPR018108	HP:0000005	0.84
IPR018108	HP:0000007	2.36
