Feature_id	Term_id	Score
PF00092,PF00092	HP:0000004	3.26
PF00654	HP:0000004	3.26
PF00654,PF00571	HP:0000004	3.26
PF00571	HP:0000005	0.88
PF01391,PF01391,PF01391,PF01413,PF01413	HP:0000005	0.68
PF00595,PF00595,PF00595	HP:0000005	0.62
PF00595,PF00595,PF00595	HP:0000007	1.76
PF01392	HP:0000005	0.68
PF01391,PF01391,PF01391,PF01391,PF01391,PF01391,PF01391,PF01391,PF01413	HP:0000005	0.68
PF00520,PF06512	HP:0000005	0.68
PF00520,PF06512	HP:0000006	2.92
PF12661	HP:0000005	0.68
PF00569	HP:0000005	0.62
PF00520,PF00520,PF00520	HP:0000005	0.68
PF00702	HP:0000005	0.83
PF10582	HP:0000005	0.88
PF10582	HP:0000006	3.13
PF00320,PF00320	HP:0000005	0.62
PF00435,PF00435,PF00435,PF00435,PF00435,PF00435,PF00435	HP:0000005	0.62
PF00435,PF00435,PF00435,PF00435,PF00435,PF00435,PF00435	HP:0000006	2.67
PF00028,PF00028,PF00028	HP:0000005	0.92
PF00520,PF00520,PF00520,PF00520	HP:0000005	0.68
PF01462,PF13855	HP:0000005	0.74
PF00520,PF11933,PF00520,PF06512,PF00520	HP:0000005	0.62
PF00520,PF11933,PF00520,PF06512,PF00520	HP:0000006	2.67
PF00498	HP:0000005	0.62
PF00008,PF07645	HP:0000005	0.62
PF01413,PF01413	HP:0000005	0.68
PF01462	HP:0000005	0.88
PF01030	HP:0000005	0.62
PF01030	HP:0000007	1.76
PF00168	HP:0000005	1.21
PF00030,PF00030	HP:0000005	0.79
PF13516	HP:0000005	0.62
PF00435,PF00435,PF00435,PF00435,PF00435,PF00435,PF00435,PF00435,PF00435	HP:0000005	0.62
PF00435,PF00435,PF00435,PF00435,PF00435,PF00435,PF00435,PF00435,PF00435	HP:0000006	2.67
PF00058,PF14670	HP:0000005	0.62
PF01391,PF01391,PF01391,PF01391,PF01391,PF01391,PF01391	HP:0000005	1.08
PF00690,PF00122,PF00702	HP:0000005	0.62
PF01391,PF01391,PF01391,PF01391,PF01391,PF01391,PF01391,PF01391,PF01391,PF01391,PF01391,PF01391,PF01391,PF01391,PF01391,PF01391,PF01391	HP:0000005	0.74
PF13895,PF07679,PF07679,PF07679	HP:0000005	0.68
PF01391,PF01391,PF01391,PF01391,PF01391,PF01391,PF01391,PF01391,PF01391,PF01391	HP:0000005	0.88
PF05729,PF13516	HP:0000005	0.62
PF01391,PF01391,PF01391,PF01391,PF01391,PF01391,PF01391,PF01391,PF01391,PF01391,PF01391,PF01391,PF01391,PF01391,PF01413,PF01413	HP:0000005	0.68
