interpro	term
IPR000003	GO:0006355
IPR000009	GO:0007165
IPR000011	GO:0006464
IPR000012	GO:0019058
IPR000013	GO:0006508
IPR000014	GO:0007165
IPR000015	GO:0006810
IPR000018	GO:0007186
IPR000018	GO:0030321
IPR000023	GO:0006096
IPR000025	GO:0007186
IPR000031	GO:0006189
IPR000035	GO:0006281
IPR000036	GO:0006508
IPR000038	GO:0007049
IPR000039	GO:0006412
IPR000040	GO:0006355
IPR000043	GO:0006730
IPR000046	GO:0007186
IPR000053	GO:0006206
IPR000054	GO:0006412
IPR000055	GO:0006304
IPR000056	GO:0005975
IPR000057	GO:0006935
IPR000057	GO:0007186
IPR000059	GO:0009132
IPR000060	GO:0006810
IPR000061	GO:0006396
IPR000065	GO:0007165
IPR000066	GO:0019684
IPR000067	GO:0071973
IPR000069	GO:0019058
IPR000070	GO:0042545
IPR000074	GO:0006869
IPR000074	GO:0042157
IPR000076	GO:0006811
IPR000077	GO:0006412
IPR000081	GO:0006508
IPR000081	GO:0016032
IPR000085	GO:0006281
IPR000085	GO:0006310
IPR000090	GO:0006935
IPR000090	GO:0071973
IPR000092	GO:0008299
IPR000093	GO:0006281
IPR000093	GO:0006310
IPR000096	GO:0006953
IPR000098	GO:0006955
IPR000100	GO:0008033
IPR000101	GO:0006749
IPR000103	GO:0055114
IPR000104	GO:0042309
IPR000104	GO:0050826
IPR000105	GO:0007186
IPR000106	GO:0006470
IPR000109	GO:0006810
IPR000110	GO:0006412
IPR000111	GO:0005975
IPR000112	GO:0007186
IPR000114	GO:0006412
IPR000115	GO:0009113
IPR000116	GO:0006355
IPR000121	GO:0016310
IPR000123	GO:0006278
IPR000124	GO:0007338
IPR000125	GO:0005976
IPR000126	GO:0006508
IPR000127	GO:0006464
IPR000128	GO:0006355
IPR000128	GO:0043401
IPR000131	GO:0015986
IPR000133	GO:0006621
IPR000141	GO:0007186
IPR000142	GO:0007200
IPR000142	GO:0030168
IPR000142	GO:0090075
IPR000144	GO:0007186
