interpro	term
IPR000941	GO:0000015
IPR020809	GO:0000015
IPR020810	GO:0000015
IPR020811	GO:0000015
IPR017320	GO:0000118
IPR016629	GO:0000120
IPR013523	GO:0000123
IPR014744	GO:0000123
IPR026180	GO:0000123
IPR026316	GO:0000123
IPR018783	GO:0000124
IPR021950	GO:0000124
IPR029529	GO:0000126
IPR006953	GO:0000139
IPR007271	GO:0000139
IPR016469	GO:0000139
IPR016973	GO:0000139
IPR017176	GO:0000139
IPR017873	GO:0000139
IPR023601	GO:0000139
IPR026650	GO:0000139
IPR004140	GO:0000145
IPR007191	GO:0000145
IPR007225	GO:0000145
IPR010326	GO:0000145
IPR029175	GO:0000145
IPR003440	GO:0000148
IPR019474	GO:0000151
IPR000009	GO:0000159
IPR002554	GO:0000159
IPR027036	GO:0000164
IPR002730	GO:0000172
IPR016848	GO:0000172
IPR012588	GO:0000176
IPR011807	GO:0000178
IPR019495	GO:0000178
IPR023474	GO:0000178
IPR026699	GO:0000178
IPR016589	GO:0000214
IPR016690	GO:0000214
IPR026028	GO:0000220
IPR004908	GO:0000221
IPR011987	GO:0000221
IPR006909	GO:0000228
IPR006939	GO:0000228
IPR012601	GO:0000228
IPR009446	GO:0000262
IPR006721	GO:0000275
IPR020971	GO:0000275
IPR001421	GO:0000276
IPR006808	GO:0000276
IPR008386	GO:0000276
IPR008387	GO:0000276
IPR008688	GO:0000276
IPR008689	GO:0000276
IPR009230	GO:0000276
IPR013837	GO:0000276
IPR016349	GO:0000276
IPR000296	GO:0000323
IPR029514	GO:0000324
IPR004598	GO:0000439
IPR004600	GO:0000439
IPR009400	GO:0000439
IPR012170	GO:0000439
IPR027079	GO:0000439
IPR013218	GO:0000444
IPR008501	GO:0000445
IPR013586	GO:0000502
IPR016642	GO:0000502
IPR016643	GO:0000502
IPR022482	GO:0000502
IPR005549	GO:0000775
IPR008685	GO:0000775
IPR009361	GO:0000775
IPR011515	GO:0000775
IPR015115	GO:0000775
IPR026706	GO:0000775
IPR027715	GO:0000775
IPR027801	GO:0000775
IPR028321	GO:0000775
IPR008426	GO:0000776
IPR012485	GO:0000776
IPR018464	GO:0000776
IPR028255	GO:0000776
IPR028386	GO:0000776
IPR029092	GO:0000776
IPR010874	GO:0000781
IPR017357	GO:0000781
IPR028631	GO:0000783
IPR011564	GO:0000784
IPR014647	GO:0000784
IPR000079	GO:0000785
IPR000116	GO:0000785
IPR026656	GO:0000785
IPR000164	GO:0000786
IPR000221	GO:0000786
IPR000492	GO:0000786
IPR000558	GO:0000786
IPR000678	GO:0000786
IPR001319	GO:0000786
IPR001951	GO:0000786
IPR002119	GO:0000786
IPR005818	GO:0000786
IPR005819	GO:0000786
IPR019809	GO:0000786
IPR020062	GO:0000786
IPR021171	GO:0000786
IPR015159	GO:0000794
IPR026217	GO:0000794
IPR008827	GO:0000795
IPR026676	GO:0000795
IPR022816	GO:0000796
IPR027120	GO:0000796
IPR027165	GO:0000796
IPR012371	GO:0000799
IPR007220	GO:0000808
IPR016527	GO:0000808
IPR020796	GO:0000808
IPR027667	GO:0000812
IPR007259	GO:0000922
IPR026619	GO:0000922
IPR026708	GO:0000922
IPR002454	GO:0000930
IPR026762	GO:0000940
IPR027716	GO:0000942
IPR001696	GO:0001518
IPR008051	GO:0001518
IPR008052	GO:0001518
IPR008053	GO:0001518
IPR008054	GO:0001518
IPR010526	GO:0001518
IPR027096	GO:0001518
IPR027098	GO:0001518
IPR028803	GO:0001518
IPR028808	GO:0001518
IPR028809	GO:0001518
IPR028812	GO:0001518
IPR028826	GO:0001518
IPR008673	GO:0001527
IPR002360	GO:0001533
IPR009733	GO:0001533
IPR029142	GO:0001533
IPR012267	GO:0001669
IPR026743	GO:0001669
IPR026787	GO:0001669
IPR029301	GO:0001669
IPR015224	GO:0001726
IPR015503	GO:0001726
IPR028181	GO:0001772
IPR000013	GO:0005576
IPR000020	GO:0005576
IPR000065	GO:0005576
IPR000074	GO:0005576
IPR000083	GO:0005576
IPR000096	GO:0005576
IPR000098	GO:0005576
IPR000117	GO:0005576
IPR000177	GO:0005576
IPR000186	GO:0005576
IPR000187	GO:0005576
IPR000226	GO:0005576
IPR000254	GO:0005576
IPR000275	GO:0005576
IPR000294	GO:0005576
IPR000346	GO:0005576
IPR000381	GO:0005576
IPR000400	GO:0005576
IPR000443	GO:0005576
IPR000471	GO:0005576
IPR000476	GO:0005576
IPR000491	GO:0005576
IPR000512	GO:0005576
IPR000532	GO:0005576
IPR000663	GO:0005576
IPR000693	GO:0005576
IPR000773	GO:0005576
IPR000779	GO:0005576
IPR000827	GO:0005576
IPR000867	GO:0005576
IPR000875	GO:0005576
IPR000877	GO:0005576
IPR000879	GO:0005576
IPR000981	GO:0005576
IPR001028	GO:0005576
IPR001089	GO:0005576
IPR001144	GO:0005576
IPR001166	GO:0005576
IPR001181	GO:0005576
IPR001262	GO:0005576
IPR001299	GO:0005576
IPR001318	GO:0005576
IPR001323	GO:0005576
IPR001325	GO:0005576
IPR001400	GO:0005576
IPR001415	GO:0005576
IPR001483	GO:0005576
IPR001489	GO:0005576
IPR001545	GO:0005576
IPR001581	GO:0005576
IPR001588	GO:0005576
IPR001615	GO:0005576
IPR001651	GO:0005576
IPR001693	GO:0005576
IPR001710	GO:0005576
IPR001729	GO:0005576
IPR001811	GO:0005576
IPR001835	GO:0005576
IPR001840	GO:0005576
IPR001855	GO:0005576
IPR001894	GO:0005576
IPR001928	GO:0005576
IPR001941	GO:0005576
IPR001947	GO:0005576
IPR001955	GO:0005576
IPR001981	GO:0005576
IPR002012	GO:0005576
IPR002047	GO:0005576
IPR002061	GO:0005576
IPR002069	GO:0005576
IPR002098	GO:0005576
IPR002116	GO:0005576
IPR002169	GO:0005576
IPR002183	GO:0005576
IPR002200	GO:0005576
IPR002336	GO:0005576
IPR002354	GO:0005576
