pfamA_acc	term
PF00113	GO:0000015
PF03952	GO:0000015
PF09030	GO:0000123
PF10163	GO:0000124
PF12090	GO:0000124
PF04142	GO:0000139
PF04869	GO:0000139
PF03081	GO:0000145
PF04048	GO:0000145
PF04091	GO:0000145
PF06046	GO:0000145
PF15469	GO:0000145
PF02364	GO:0000148
PF10408	GO:0000151
PF01603	GO:0000159
PF01868	GO:0000172
PF08066	GO:0000176
PF10447	GO:0000178
PF03224	GO:0000221
PF11698	GO:0000221
PF04824	GO:0000228
PF04855	GO:0000228
PF08188	GO:0000228
PF06420	GO:0000262
PF04627	GO:0000275
PF11421	GO:0000275
PF00895	GO:0000276
PF04718	GO:0000276
PF05405	GO:0000276
PF05511	GO:0000276
PF05680	GO:0000276
PF05873	GO:0000276
PF05933	GO:0000276
PF03849	GO:0000439
PF03850	GO:0000439
PF06331	GO:0000439
PF08202	GO:0000444
PF05615	GO:0000445
PF08375	GO:0000502
PF03800	GO:0000775
PF05859	GO:0000775
PF06248	GO:0000775
PF07557	GO:0000775
PF09026	GO:0000775
PF13096	GO:0000775
PF05837	GO:0000776
PF07778	GO:0000776
PF09496	GO:0000776
PF15556	GO:0000776
PF07404	GO:0000781
PF10341	GO:0000781
PF02765	GO:0000784
PF01101	GO:0000785
PF00260	GO:0000786
PF00538	GO:0000786
PF00841	GO:0000786
PF01254	GO:0000786
PF02079	GO:0000786
PF09074	GO:0000794
PF05483	GO:0000795
PF15233	GO:0000795
PF05786	GO:0000796
PF04084	GO:0000808
PF14630	GO:0000808
PF04130	GO:0000922
PF06512	GO:0001518
PF05507	GO:0001527
PF06994	GO:0001533
PF14820	GO:0001533
PF15307	GO:0001669
PF09141	GO:0001726
PF15050	GO:0001772
PF00039	GO:0005576
PF00048	GO:0005576
PF00049	GO:0005576
PF00087	GO:0005576
PF00095	GO:0005576
PF00103	GO:0005576
PF00110	GO:0005576
PF00123	GO:0005576
PF00143	GO:0005576
PF00159	GO:0005576
PF00184	GO:0005576
PF00212	GO:0005576
PF00214	GO:0005576
PF00219	GO:0005576
PF00220	GO:0005576
PF00228	GO:0005576
PF00236	GO:0005576
PF00272	GO:0005576
PF00277	GO:0005576
PF00322	GO:0005576
PF00323	GO:0005576
PF00363	GO:0005576
PF00446	GO:0005576
PF00451	GO:0005576
PF00473	GO:0005576
PF00489	GO:0005576
PF00537	GO:0005576
PF00594	GO:0005576
PF00666	GO:0005576
PF00706	GO:0005576
PF00711	GO:0005576
PF00714	GO:0005576
PF00715	GO:0005576
PF00727	GO:0005576
PF00734	GO:0005576
PF00758	GO:0005576
PF00811	GO:0005576
PF00918	GO:0005576
PF00964	GO:0005576
PF00997	GO:0005576
PF01109	GO:0005576
PF01114	GO:0005576
PF01117	GO:0005576
PF01147	GO:0005576
PF01279	GO:0005576
PF01291	GO:0005576
PF01296	GO:0005576
PF01338	GO:0005576
PF01372	GO:0005576
PF01374	GO:0005576
PF01375	GO:0005576
PF01376	GO:0005576
PF01415	GO:0005576
PF01442	GO:0005576
PF01607	GO:0005576
PF01721	GO:0005576
PF01752	GO:0005576
PF01821	GO:0005576
PF02024	GO:0005576
