pfamA_acc	term
PF00001	GO:0007186
PF00002	GO:0007186
PF00003	GO:0007186
PF00015	GO:0007165
PF00026	GO:0006508
PF00028	GO:0007156
PF00033	GO:0022904
PF00044	GO:0055114
PF00048	GO:0006955
PF00056	GO:0055114
PF00064	GO:0005975
PF00066	GO:0030154
PF00067	GO:0055114
PF00069	GO:0006468
PF00070	GO:0055114
PF00071	GO:0007264
PF00072	GO:0000160
PF00080	GO:0006801
PF00080	GO:0055114
PF00081	GO:0006801
PF00081	GO:0055114
PF00082	GO:0006508
PF00083	GO:0055085
PF00085	GO:0045454
PF00089	GO:0006508
PF00102	GO:0006470
PF00104	GO:0006355
PF00104	GO:0043401
PF00105	GO:0006355
PF00106	GO:0008152
PF00107	GO:0055114
PF00108	GO:0008152
PF00110	GO:0007275
PF00110	GO:0016055
PF00112	GO:0006508
PF00113	GO:0006096
PF00114	GO:0007155
PF00115	GO:0009060
PF00115	GO:0055114
PF00118	GO:0044267
PF00119	GO:0015986
PF00120	GO:0006807
PF00121	GO:0008152
PF00124	GO:0009772
PF00124	GO:0019684
PF00126	GO:0006355
PF00128	GO:0005975
PF00129	GO:0006955
PF00129	GO:0019882
PF00130	GO:0035556
PF00133	GO:0006418
PF00136	GO:0006260
PF00137	GO:0015991
PF00140	GO:0006352
PF00140	GO:0006355
PF00141	GO:0006979
PF00141	GO:0055114
PF00142	GO:0055114
PF00143	GO:0006952
PF00146	GO:0055114
PF00148	GO:0055114
PF00150	GO:0005975
PF00152	GO:0006418
PF00154	GO:0006281
PF00154	GO:0009432
PF00155	GO:0009058
PF00156	GO:0009116
PF00157	GO:0006355
PF00158	GO:0006355
PF00160	GO:0000413
PF00160	GO:0006457
PF00161	GO:0017148
PF00162	GO:0006096
PF00164	GO:0006412
PF00165	GO:0006355
PF00166	GO:0006457
PF00170	GO:0006355
PF00171	GO:0008152
PF00171	GO:0055114
PF00172	GO:0006355
PF00174	GO:0055114
PF00175	GO:0055114
PF00178	GO:0006355
PF00180	GO:0055114
PF00181	GO:0006412
PF00182	GO:0006032
PF00182	GO:0016998
PF00183	GO:0006457
PF00183	GO:0006950
PF00185	GO:0006520
PF00186	GO:0006545
PF00186	GO:0009165
PF00186	GO:0055114
PF00189	GO:0006412
PF00193	GO:0007155
PF00195	GO:0009058
PF00196	GO:0006355
PF00198	GO:0008152
PF00199	GO:0055114
PF00201	GO:0008152
PF00203	GO:0006412
PF00204	GO:0006265
PF00208	GO:0006520
PF00208	GO:0055114
PF00209	GO:0006836
PF00210	GO:0006879
PF00211	GO:0009190
PF00211	GO:0035556
PF00213	GO:0015986
PF00215	GO:0006207
PF00219	GO:0001558
PF00221	GO:0009058
PF00223	GO:0015979
PF00224	GO:0006096
PF00225	GO:0007018
PF00227	GO:0051603
PF00229	GO:0006955
PF00230	GO:0006810
PF00231	GO:0015986
PF00232	GO:0005975
PF00233	GO:0007165
PF00237	GO:0006412
PF00238	GO:0006412
PF00239	GO:0006310
PF00242	GO:0006260
PF00245	GO:0008152
PF00246	GO:0006508
PF00250	GO:0006355
PF00252	GO:0006412
PF00253	GO:0006412
PF00254	GO:0006457
PF00255	GO:0006979
PF00255	GO:0055114
PF00257	GO:0006950
PF00257	GO:0009415
PF00260	GO:0007283
PF00262	GO:0006457
PF00263	GO:0009306
PF00264	GO:0008152
PF00266	GO:0008152
PF00267	GO:0006810
PF00268	GO:0009186
PF00268	GO:0055114
PF00269	GO:0006265
PF00274	GO:0006096
PF00276	GO:0006412
PF00277	GO:0006953
PF00280	GO:0009611
PF00281	GO:0006412
PF00282	GO:0019752
PF00283	GO:0015979
PF00284	GO:0015979
PF00285	GO:0044262
PF00287	GO:0006813
PF00287	GO:0006814
PF00289	GO:0008152
PF00290	GO:0006568
PF00292	GO:0006355
PF00295	GO:0005975
PF00296	GO:0055114
PF00297	GO:0006412
PF00298	GO:0006412
PF00303	GO:0006231
PF00304	GO:0006952
PF00305	GO:0055114
PF00306	GO:0015991
PF00309	GO:0006352
PF00309	GO:0006355
PF00310	GO:0008152
PF00311	GO:0006099
PF00311	GO:0015977
PF00312	GO:0006412
PF00313	GO:0006355
PF00316	GO:0005975
PF00317	GO:0006260
PF00317	GO:0055114
PF00318	GO:0006412
PF00320	GO:0006355
PF00321	GO:0006952
PF00322	GO:0019229
PF00323	GO:0006952
PF00324	GO:0006810
PF00324	GO:0055085
PF00325	GO:0006355
PF00326	GO:0006508
PF00329	GO:0055114
PF00330	GO:0008152
PF00331	GO:0005975
PF00332	GO:0005975
PF00333	GO:0006412
PF00334	GO:0006165
PF00334	GO:0006183
PF00334	GO:0006228
PF00334	GO:0006241
PF00342	GO:0006094
PF00342	GO:0006096
PF00343	GO:0005975
PF00344	GO:0015031
PF00345	GO:0071555
PF00346	GO:0055114
PF00347	GO:0006412
PF00348	GO:0008299
PF00349	GO:0005975
PF00351	GO:0055114
PF00352	GO:0006352
PF00355	GO:0055114
PF00356	GO:0006355
PF00358	GO:0009401
PF00360	GO:0006355
PF00360	GO:0009584
PF00360	GO:0018298
PF00361	GO:0055114
PF00363	GO:0006810
PF00365	GO:0006096
PF00366	GO:0006412
PF00368	GO:0015936
PF00368	GO:0055114
PF00370	GO:0005975
PF00375	GO:0006835
PF00376	GO:0006355
PF00377	GO:0051260
PF00378	GO:0008152
PF00380	GO:0006412
PF00384	GO:0055114
PF00387	GO:0006629
PF00387	GO:0007165
PF00387	GO:0035556
PF00389	GO:0008152
PF00389	GO:0055114
PF00390	GO:0055114
PF00391	GO:0016310
PF00392	GO:0006355
PF00393	GO:0006098
PF00393	GO:0055114
PF00394	GO:0055114
PF00398	GO:0000154
PF00403	GO:0030001
PF00404	GO:0005975
PF00407	GO:0006952
PF00407	GO:0009607
PF00408	GO:0005975
PF00410	GO:0006412
PF00411	GO:0006412
PF00413	GO:0006508
PF00416	GO:0006412
PF00419	GO:0007155
PF00420	GO:0042773
PF00420	GO:0055114
PF00421	GO:0009767
PF00421	GO:0019684
PF00423	GO:0019058
PF00424	GO:0006355
PF00426	GO:0019058
PF00427	GO:0015979
PF00428	GO:0006414
PF00430	GO:0015986
PF00433	GO:0006468
PF00437	GO:0006810
PF00438	GO:0006556
PF00441	GO:0055114
PF00443	GO:0006511
PF00444	GO:0006412
PF00446	GO:0007275
PF00447	GO:0006355
PF00448	GO:0006614
PF00450	GO:0006508
PF00451	GO:0009405
PF00452	GO:0042981
PF00453	GO:0006412
PF00457	GO:0005975
PF00458	GO:0006418
PF00459	GO:0046854
PF00460	GO:0071973
PF00462	GO:0045454
PF00463	GO:0019752
PF00464	GO:0006544
PF00464	GO:0006563
PF00465	GO:0055114
PF00466	GO:0042254
PF00468	GO:0006412
PF00471	GO:0006412
PF00472	GO:0006415
PF00474	GO:0006810
PF00474	GO:0055085
PF00475	GO:0000105
PF00476	GO:0006260
PF00478	GO:0055114
PF00479	GO:0006006
PF00479	GO:0055114
PF00483	GO:0009058
PF00485	GO:0008152
PF00486	GO:0000160
PF00486	GO:0006355
PF00487	GO:0006629
PF00488	GO:0006298
PF00489	GO:0006955
PF00490	GO:0033014
PF00493	GO:0006260
PF00494	GO:0009058
PF00499	GO:0055114
PF00501	GO:0008152
PF00502	GO:0015979
PF00503	GO:0007186
PF00507	GO:0055114
PF00508	GO:0006275
PF00508	GO:0006355
PF00508	GO:0016032
PF00509	GO:0019064
PF00511	GO:0006275
PF00511	GO:0006355
PF00512	GO:0007165
PF00519	GO:0006260
PF00520	GO:0006811
PF00520	GO:0055085
PF00521	GO:0006265
PF00522	GO:0019058
PF00523	GO:0006948
PF00527	GO:0006355
PF00528	GO:0006810
PF00529	GO:0055085
PF00531	GO:0007165
PF00534	GO:0009058
PF00538	GO:0006334
PF00539	GO:0006355
PF00541	GO:0019062
PF00542	GO:0006412
PF00543	GO:0006808
PF00547	GO:0043419
PF00548	GO:0006508
PF00549	GO:0008152
PF00551	GO:0009058
PF00553	GO:0005975
PF00554	GO:0006355
PF00556	GO:0019684
PF00558	GO:0019076
PF00558	GO:0032801
PF00559	GO:0019058
PF00562	GO:0006351
PF00566	GO:0032313
PF00572	GO:0006412
PF00573	GO:0006412
PF00577	GO:0006810
PF00578	GO:0055114
PF00579	GO:0006418
PF00582	GO:0006950
PF00584	GO:0006605
PF00584	GO:0006886
PF00587	GO:0006418
PF00588	GO:0006396
PF00589	GO:0006310
PF00589	GO:0015074
PF00590	GO:0008152
PF00591	GO:0008152
PF00593	GO:0006810
PF00599	GO:0015992
PF00601	GO:0006405
PF00602	GO:0006351
PF00603	GO:0006351
PF00604	GO:0006351
PF00607	GO:0016032
PF00608	GO:0007155
PF00608	GO:0009405
PF00608	GO:0019062
PF00609	GO:0007205
PF00610	GO:0035556
PF00614	GO:0008152
PF00615	GO:0008277
PF00616	GO:0051056
PF00617	GO:0007264
PF00618	GO:0051056
PF00619	GO:0042981
PF00620	GO:0007165
PF00621	GO:0035023
PF00623	GO:0006351
PF00624	GO:0000128
PF00631	GO:0007186
PF00636	GO:0006396
PF00637	GO:0006886
PF00637	GO:0016192
PF00638	GO:0046907
PF00647	GO:0006414
PF00648	GO:0006508
PF00649	GO:0006355
PF00654	GO:0006821
PF00654	GO:0055085
PF00656	GO:0006508
PF00657	GO:0006629
PF00660	GO:0006950
PF00661	GO:0019068
PF00662	GO:0042773
PF00662	GO:0055114
PF00664	GO:0006810
PF00664	GO:0055085
PF00665	GO:0015074
