pfamA_acc	term
PF00001	GO:0004930
PF00002	GO:0004930
PF00003	GO:0004930
PF00004	GO:0005524
PF00005	GO:0005524
PF00005	GO:0016887
PF00006	GO:0005524
PF00008	GO:0005515
PF00009	GO:0003924
PF00009	GO:0005525
PF00010	GO:0046983
PF00013	GO:0003723
PF00014	GO:0004867
PF00015	GO:0004871
PF00016	GO:0000287
PF00018	GO:0005515
PF00019	GO:0008083
PF00020	GO:0005515
PF00023	GO:0005515
PF00025	GO:0005525
PF00026	GO:0004190
PF00028	GO:0005509
PF00031	GO:0004869
PF00032	GO:0009055
PF00032	GO:0016491
PF00034	GO:0009055
PF00034	GO:0020037
PF00036	GO:0005509
PF00037	GO:0051536
PF00038	GO:0005198
PF00041	GO:0005515
PF00042	GO:0005506
PF00042	GO:0020037
PF00044	GO:0016620
PF00046	GO:0003677
PF00048	GO:0008009
PF00049	GO:0005179
PF00050	GO:0005515
PF00056	GO:0016491
PF00057	GO:0005515
PF00060	GO:0004970
PF00060	GO:0005234
PF00063	GO:0003774
PF00063	GO:0005524
PF00064	GO:0004308
PF00067	GO:0005506
PF00067	GO:0016705
PF00067	GO:0020037
PF00069	GO:0004672
PF00069	GO:0005524
PF00070	GO:0016491
PF00070	GO:0050660
PF00071	GO:0005525
PF00073	GO:0005198
PF00075	GO:0003676
PF00075	GO:0004523
PF00076	GO:0003676
PF00080	GO:0046872
PF00081	GO:0004784
PF00081	GO:0046872
PF00082	GO:0004252
PF00083	GO:0022857
PF00089	GO:0004252
PF00093	GO:0005515
PF00095	GO:0030414
PF00096	GO:0046872
PF00097	GO:0046872
PF00098	GO:0003676
PF00098	GO:0008270
PF00102	GO:0004725
PF00103	GO:0005179
PF00104	GO:0003700
PF00104	GO:0003707
PF00105	GO:0003700
PF00105	GO:0008270
PF00105	GO:0043565
PF00106	GO:0016491
PF00107	GO:0008270
PF00107	GO:0016491
PF00108	GO:0016747
PF00110	GO:0005102
PF00111	GO:0009055
PF00111	GO:0051536
PF00112	GO:0008234
PF00113	GO:0000287
PF00113	GO:0004634
PF00115	GO:0004129
PF00115	GO:0005506
PF00115	GO:0009055
PF00115	GO:0020037
PF00116	GO:0004129
PF00116	GO:0005507
PF00118	GO:0005524
PF00119	GO:0015078
PF00120	GO:0004356
PF00121	GO:0004807
PF00122	GO:0000166
PF00122	GO:0046872
PF00123	GO:0005179
PF00124	GO:0045156
PF00125	GO:0003677
PF00126	GO:0003700
PF00127	GO:0005507
PF00127	GO:0009055
PF00128	GO:0003824
PF00128	GO:0043169
PF00131	GO:0046872
PF00133	GO:0000166
PF00133	GO:0004812
PF00133	GO:0005524
PF00136	GO:0000166
PF00136	GO:0003677
PF00136	GO:0003887
PF00137	GO:0015078
PF00139	GO:0030246
PF00140	GO:0003677
PF00140	GO:0003700
PF00140	GO:0016987
PF00141	GO:0004601
PF00141	GO:0020037
PF00142	GO:0005524
PF00142	GO:0016491
PF00143	GO:0005126
PF00145	GO:0008168
PF00148	GO:0016491
