pfamA_acc	term
PF00149	GO:0016787
PF00150	GO:0004553
PF00152	GO:0000166
PF00152	GO:0004812
PF00152	GO:0005524
PF00154	GO:0003697
PF00154	GO:0005524
PF00155	GO:0030170
PF00157	GO:0003700
PF00158	GO:0005524
PF00158	GO:0008134
PF00159	GO:0005179
PF00160	GO:0003755
PF00161	GO:0030598
PF00162	GO:0004618
PF00163	GO:0019843
PF00164	GO:0003735
PF00165	GO:0003700
PF00165	GO:0043565
PF00168	GO:0005515
PF00170	GO:0003700
PF00170	GO:0043565
PF00171	GO:0016491
PF00172	GO:0000981
PF00172	GO:0008270
PF00173	GO:0020037
PF00174	GO:0009055
PF00175	GO:0016491
PF00176	GO:0003677
PF00176	GO:0005524
PF00178	GO:0003700
PF00178	GO:0043565
PF00180	GO:0016616
PF00181	GO:0003735
PF00182	GO:0004568
PF00183	GO:0005524
PF00183	GO:0051082
PF00184	GO:0005185
PF00185	GO:0016597
PF00185	GO:0016743
PF00186	GO:0004146
PF00187	GO:0008061
PF00189	GO:0003735
PF00190	GO:0045735
PF00191	GO:0005509
PF00191	GO:0005544
PF00193	GO:0005540
PF00195	GO:0016746
PF00196	GO:0003700
PF00197	GO:0004866
PF00198	GO:0016746
PF00199	GO:0004096
PF00199	GO:0020037
PF00201	GO:0016758
PF00202	GO:0008483
PF00202	GO:0030170
PF00203	GO:0003735
PF00204	GO:0003677
PF00204	GO:0003918
PF00204	GO:0005524
PF00205	GO:0000287
PF00205	GO:0030976
PF00207	GO:0004866
PF00208	GO:0016491
PF00209	GO:0005328
PF00210	GO:0008199
PF00211	GO:0016849
PF00212	GO:0005179
PF00213	GO:0046933
PF00214	GO:0005179
PF00215	GO:0004590
PF00216	GO:0003677
PF00217	GO:0016301
PF00217	GO:0016772
PF00218	GO:0004425
PF00219	GO:0005520
PF00220	GO:0005185
PF00221	GO:0016841
PF00224	GO:0000287
PF00224	GO:0004743
PF00224	GO:0030955
PF00225	GO:0003777
PF00225	GO:0005524
PF00225	GO:0008017
PF00227	GO:0004298
PF00228	GO:0004867
PF00229	GO:0005164
PF00230	GO:0005215
PF00231	GO:0046933
PF00231	GO:0046961
PF00232	GO:0004553
PF00233	GO:0004114
PF00236	GO:0005179
PF00237	GO:0003735
PF00238	GO:0003735
PF00239	GO:0000150
PF00239	GO:0003677
PF00240	GO:0005515
PF00241	GO:0003779
PF00242	GO:0003677
PF00242	GO:0003887
PF00243	GO:0005102
PF00245	GO:0016791
PF00246	GO:0004181
PF00246	GO:0008270
PF00249	GO:0003682
PF00250	GO:0003700
PF00250	GO:0043565
PF00252	GO:0003735
PF00253	GO:0003735
PF00255	GO:0004602
PF00258	GO:0010181
PF00258	GO:0016491
PF00260	GO:0003677
PF00262	GO:0005509
PF00262	GO:0051082
PF00264	GO:0016491
PF00265	GO:0004797
PF00265	GO:0005524
PF00267	GO:0015288
PF00269	GO:0003690
PF00270	GO:0003676
PF00270	GO:0005524
PF00274	GO:0004332
PF00275	GO:0016765
PF00276	GO:0003735
PF00278	GO:0003824
PF00280	GO:0004867
PF00281	GO:0003735
PF00282	GO:0016831
PF00282	GO:0030170
PF00284	GO:0046872
PF00285	GO:0046912
PF00286	GO:0005198
PF00288	GO:0005524
PF00289	GO:0003824
PF00290	GO:0004834
PF00292	GO:0003677
PF00293	GO:0016787
PF00295	GO:0004650
PF00296	GO:0016705
PF00297	GO:0003735
PF00298	GO:0003735
PF00299	GO:0004867
PF00301	GO:0005506
PF00302	GO:0008811
PF00303	GO:0004799
PF00305	GO:0016702
PF00305	GO:0046872
PF00306	GO:0016820
PF00307	GO:0005515
PF00309	GO:0003677
PF00309	GO:0003700
PF00309	GO:0003899
PF00309	GO:0016987
PF00311	GO:0008964
PF00312	GO:0003735
PF00313	GO:0003677
PF00316	GO:0042132
PF00316	GO:0042578
PF00317	GO:0004748
PF00317	GO:0005524
PF00318	GO:0003735
PF00319	GO:0003677
PF00319	GO:0046983
PF00320	GO:0003700
PF00320	GO:0008270
PF00320	GO:0043565
PF00325	GO:0003700
PF00326	GO:0008236
PF00328	GO:0003993
PF00329	GO:0008137
PF00331	GO:0004553
PF00332	GO:0004553
PF00333	GO:0003723
PF00333	GO:0003735
PF00334	GO:0004550
PF00334	GO:0005524
PF00336	GO:0004523
PF00337	GO:0030246
PF00341	GO:0008083
PF00342	GO:0004347
PF00343	GO:0008184
PF00346	GO:0016651
PF00346	GO:0048038
PF00346	GO:0051287
PF00347	GO:0003735
PF00347	GO:0019843
PF00349	GO:0005524
PF00349	GO:0016773
PF00351	GO:0016714
PF00352	GO:0003677
PF00353	GO:0005509
PF00355	GO:0016491
PF00355	GO:0051537
PF00356	GO:0003700
PF00361	GO:0008137
PF00363	GO:0005215
PF00365	GO:0003872
PF00366	GO:0003735
PF00367	GO:0008982
PF00368	GO:0004420
PF00368	GO:0050662
PF00370	GO:0016773
PF00374	GO:0016151
PF00375	GO:0017153
PF00376	GO:0003677
PF00378	GO:0003824
PF00379	GO:0042302
PF00380	GO:0003735
PF00382	GO:0017025
PF00383	GO:0008270
PF00383	GO:0016787
PF00384	GO:0016491
PF00387	GO:0004435
PF00389	GO:0016616
PF00389	GO:0051287
PF00390	GO:0004471
PF00391	GO:0016772
PF00392	GO:0003700
PF00393	GO:0004616
PF00393	GO:0050661
PF00394	GO:0016491
PF00397	GO:0005515
PF00398	GO:0000179
PF00398	GO:0008649
PF00399	GO:0005199
PF00400	GO:0005515
PF00403	GO:0046872
PF00404	GO:0004553
PF00408	GO:0016868
PF00410	GO:0003735
PF00411	GO:0003735
PF00412	GO:0008270
PF00413	GO:0004222
PF00413	GO:0008270
PF00416	GO:0003723
PF00416	GO:0003735
PF00418	GO:0015631
PF00420	GO:0016651
PF00421	GO:0016168
PF00423	GO:0004308
PF00423	GO:0046789
PF00424	GO:0003700
PF00428	GO:0003735
PF00430	GO:0015078
PF00432	GO:0003824
PF00433	GO:0004674
PF00433	GO:0005524
PF00435	GO:0005515
PF00436	GO:0003697
PF00437	GO:0005524
PF00438	GO:0004478
PF00439	GO:0005515
PF00440	GO:0003677
PF00441	GO:0016627
PF00444	GO:0003735
PF00445	GO:0003723
PF00445	GO:0033897
PF00446	GO:0005179
PF00447	GO:0003700
PF00447	GO:0043565
PF00448	GO:0005525
PF00450	GO:0004185
PF00451	GO:0008200
PF00453	GO:0003735
PF00453	GO:0019843
PF00454	GO:0016773
PF00457	GO:0004553
PF00458	GO:0004812
PF00458	GO:0005524
PF00462	GO:0009055
PF00462	GO:0015035
PF00463	GO:0004451
PF00464	GO:0004372
PF00465	GO:0016491
PF00465	GO:0046872
PF00468	GO:0003735
PF00469	GO:0005525
PF00471	GO:0003735
PF00472	GO:0003747
PF00473	GO:0005179
PF00474	GO:0005215
PF00475	GO:0004424
PF00476	GO:0003677
PF00476	GO:0003887
PF00478	GO:0003824
PF00479	GO:0004345
PF00479	GO:0050661
PF00481	GO:0003824
PF00483	GO:0016779
PF00484	GO:0004089
PF00484	GO:0008270
PF00485	GO:0005524
PF00485	GO:0016301
PF00486	GO:0003677
PF00488	GO:0005524
PF00488	GO:0030983
PF00489	GO:0005125
PF00490	GO:0004655
PF00490	GO:0046872
PF00491	GO:0046872
PF00493	GO:0003677
PF00493	GO:0005524
PF00494	GO:0016740
PF00498	GO:0005515
PF00499	GO:0008137
PF00500	GO:0005198
PF00501	GO:0003824
PF00503	GO:0003924
PF00503	GO:0004871
PF00503	GO:0019001
PF00503	GO:0031683
PF00506	GO:0005198
PF00507	GO:0008137
PF00509	GO:0046789
PF00510	GO:0015002
PF00511	GO:0003677
PF00511	GO:0003700
PF00512	GO:0000155
PF00513	GO:0005198
PF00514	GO:0005515
PF00515	GO:0005515
PF00517	GO:0005198
PF00518	GO:0003677
PF00519	GO:0003677
PF00519	GO:0004003
PF00519	GO:0005524
PF00520	GO:0005216
PF00521	GO:0003677
PF00521	GO:0003918
PF00521	GO:0005524
PF00524	GO:0016817
PF00525	GO:0005212
PF00527	GO:0003677
PF00527	GO:0003700
PF00530	GO:0005044
PF00531	GO:0005515
PF00537	GO:0008200
PF00538	GO:0003677
PF00539	GO:0003700
PF00540	GO:0005198
PF00542	GO:0003735
PF00543	GO:0030234
PF00545	GO:0003723
PF00545	GO:0004521
PF00547	GO:0016151
PF00548	GO:0004197
PF00549	GO:0003824
PF00551	GO:0016742
PF00552	GO:0003676
PF00553	GO:0004553
PF00553	GO:0030246
PF00554	GO:0003700
PF00556	GO:0045156
PF00558	GO:0005261
PF00560	GO:0005515
PF00562	GO:0003677
PF00562	GO:0003899
PF00564	GO:0005515
PF00566	GO:0005097
PF00569	GO:0008270
PF00570	GO:0003676
PF00572	GO:0003735
PF00573	GO:0003735
PF00575	GO:0003676
PF00577	GO:0005215
PF00578	GO:0016209
PF00578	GO:0016491
PF00579	GO:0000166
PF00579	GO:0004812
PF00579	GO:0005524
PF00580	GO:0005524
PF00583	GO:0008080
PF00586	GO:0003824
PF00587	GO:0000166
PF00587	GO:0004812
PF00587	GO:0005524
PF00588	GO:0003723
PF00588	GO:0008173
PF00589	GO:0003677
PF00590	GO:0008168
PF00591	GO:0016757
PF00593	GO:0004872
PF00594	GO:0005509
PF00595	GO:0005515
PF00598	GO:0003723
PF00598	GO:0005198
PF00599	GO:0015078
PF00600	GO:0003723
PF00602	GO:0003968
PF00603	GO:0003723
PF00603	GO:0003968
PF00604	GO:0003723
PF00604	GO:0003968
PF00605	GO:0000975
PF00609	GO:0004143
PF00612	GO:0005515
PF00614	GO:0003824
PF00616	GO:0005096
PF00617	GO:0005085
PF00618	GO:0005085
PF00621	GO:0005089
PF00622	GO:0005515
PF00623	GO:0003677
PF00623	GO:0003899
PF00627	GO:0005515
PF00628	GO:0005515
PF00631	GO:0004871
PF00632	GO:0004842
PF00633	GO:0003677
PF00635	GO:0005198
PF00636	GO:0003723
PF00636	GO:0004525
PF00639	GO:0016853
PF00640	GO:0005515
PF00641	GO:0008270
PF00642	GO:0046872
PF00643	GO:0008270
PF00644	GO:0003950
PF00645	GO:0003677
PF00645	GO:0008270
PF00646	GO:0005515
PF00647	GO:0003746
PF00648	GO:0004198
PF00649	GO:0003677
PF00649	GO:0003700
PF00649	GO:0005507
PF00651	GO:0005515
PF00654	GO:0005247
PF00656	GO:0004197
PF00657	GO:0016788
PF00658	GO:0003723
PF00659	GO:0005515
PF00661	GO:0005198
PF00662	GO:0008137
PF00664	GO:0005524
PF00664	GO:0042626
PF00667	GO:0016491
PF00669	GO:0005198
PF00672	GO:0004871
PF00673	GO:0003735
PF00676	GO:0016624
PF00680	GO:0003723
PF00680	GO:0003968
PF00682	GO:0003824
PF00684	GO:0031072
PF00684	GO:0051082
PF00685	GO:0008146
PF00686	GO:2001070
PF00688	GO:0008083
PF00692	GO:0016787
PF00693	GO:0004797
PF00693	GO:0005524
PF00697	GO:0004640
PF00700	GO:0005198
PF00701	GO:0016829
PF00703	GO:0004553
PF00704	GO:0004553
PF00705	GO:0003677
PF00709	GO:0004019
PF00709	GO:0005525
PF00712	GO:0003677
PF00712	GO:0003887
PF00712	GO:0008408
PF00713	GO:0004867
PF00714	GO:0005133
PF00715	GO:0005134
PF00715	GO:0008083
PF00716	GO:0004252
PF00718	GO:0005198
PF00719	GO:0000287
PF00719	GO:0004427
PF00720	GO:0004867
PF00721	GO:0005198
PF00722	GO:0004553
PF00723	GO:0004553
PF00724	GO:0010181
PF00724	GO:0016491
PF00725	GO:0003857
PF00725	GO:0016491
PF00727	GO:0005136
PF00727	GO:0008083
PF00728	GO:0004553
PF00729	GO:0005198
PF00732	GO:0016614
PF00732	GO:0050660
PF00733	GO:0004066
PF00734	GO:0004553
PF00734	GO:0030248
PF00735	GO:0005525
PF00736	GO:0003746
PF00737	GO:0042301
PF00738	GO:0005198
PF00740	GO:0005198
PF00741	GO:0005198
PF00743	GO:0004499
PF00743	GO:0050660
PF00743	GO:0050661
PF00745	GO:0008883
PF00745	GO:0050661
PF00747	GO:0003697
PF00749	GO:0005524
PF00749	GO:0016876
PF00750	GO:0004814
PF00750	GO:0005524
PF00751	GO:0043565
PF00752	GO:0004518
PF00755	GO:0016746
PF00757	GO:0004714
PF00757	GO:0005524
PF00758	GO:0005179
PF00759	GO:0004553
PF00761	GO:0005198
PF00762	GO:0004325
PF00763	GO:0003824
PF00763	GO:0004488
PF00764	GO:0004055
PF00764	GO:0005524
PF00768	GO:0009002
PF00769	GO:0008092
PF00770	GO:0004197
PF00772	GO:0003678
PF00772	GO:0005524
PF00773	GO:0003723
PF00773	GO:0004540
PF00775	GO:0003824
PF00775	GO:0008199
PF00777	GO:0008373
PF00780	GO:0005083
PF00781	GO:0004143
PF00782	GO:0008138
PF00787	GO:0035091
PF00789	GO:0005515
PF00795	GO:0016810
PF00797	GO:0016407
PF00800	GO:0004664
PF00806	GO:0003723
PF00808	GO:0043565
PF00810	GO:0046923
PF00811	GO:0005509
PF00815	GO:0004399
PF00815	GO:0008270
PF00815	GO:0051287
PF00816	GO:0003677
PF00817	GO:0003684
PF00817	GO:0003887
PF00821	GO:0004611
PF00821	GO:0005525
PF00825	GO:0000049
PF00825	GO:0004526
PF00827	GO:0003735
PF00830	GO:0003735
PF00831	GO:0003735
PF00832	GO:0003735
PF00833	GO:0003735
PF00834	GO:0016857
PF00837	GO:0004800
PF00840	GO:0004553
PF00841	GO:0003677
PF00844	GO:0005198
PF00845	GO:0003677
PF00847	GO:0003700
PF00848	GO:0005506
PF00848	GO:0016708
PF00848	GO:0051537
PF00849	GO:0003723
PF00849	GO:0009982
PF00851	GO:0004197
PF00852	GO:0008417
PF00853	GO:0003677
PF00853	GO:0003700
PF00854	GO:0005215
PF00856	GO:0005515
PF00857	GO:0003824
PF00858	GO:0005272
PF00859	GO:0003700
PF00860	GO:0005215
PF00861	GO:0003735
PF00863	GO:0008234
PF00864	GO:0001614
PF00864	GO:0005216
PF00864	GO:0005524
PF00866	GO:0003824
PF00867	GO:0004518
PF00869	GO:0046983
PF00870	GO:0044212
PF00871	GO:0016301
PF00871	GO:0016774
PF00872	GO:0003677
PF00872	GO:0004803
PF00873	GO:0005215
PF00878	GO:0005215
PF00883	GO:0004177
PF00884	GO:0008484
PF00886	GO:0003735
PF00887	GO:0000062
PF00888	GO:0031625
PF00889	GO:0003746
PF00891	GO:0008171
PF00894	GO:0005198
PF00895	GO:0015078
PF00897	GO:0005198
PF00898	GO:0005198
PF00899	GO:0003824
PF00901	GO:0005198
PF00905	GO:0008658
PF00906	GO:0005198
PF00907	GO:0003700
PF00908	GO:0008830
PF00909	GO:0008519
PF00910	GO:0003723
PF00910	GO:0003724
PF00916	GO:0015116
PF00917	GO:0005515
PF00918	GO:0005179
PF00919	GO:0003824
PF00919	GO:0051539
PF00920	GO:0003824
PF00922	GO:0003968
PF00925	GO:0003935
PF00926	GO:0008686
PF00927	GO:0003810
PF00928	GO:0005515
PF00931	GO:0043531
PF00933	GO:0004553
PF00935	GO:0003735
PF00939	GO:0005215
PF00940	GO:0003677
PF00940	GO:0003899
PF00941	GO:0016491
PF00942	GO:0030248
PF00943	GO:0005198
PF00944	GO:0004252
PF00946	GO:0003968
PF00946	GO:0004482
PF00946	GO:0005524
PF00947	GO:0008233
PF00949	GO:0003723
PF00949	GO:0003724
PF00949	GO:0005524
PF00950	GO:0005524
PF00950	GO:0042626
PF00953	GO:0008963
PF00958	GO:0003922
PF00958	GO:0005524
PF00959	GO:0003796
PF00960	GO:0003677
PF00961	GO:0003677
PF00961	GO:0004519
PF00962	GO:0019239
PF00963	GO:0030246
PF00965	GO:0008191
PF00971	GO:0005198
PF00972	GO:0003968
PF00972	GO:0005524
PF00973	GO:0005198
PF00975	GO:0016788
PF00978	GO:0003723
PF00978	GO:0003968
PF00979	GO:0005198
PF00980	GO:0005198
PF00981	GO:0003723
PF00982	GO:0003824
PF00983	GO:0005198
PF00984	GO:0016616
PF00984	GO:0051287
PF00986	GO:0003677
PF00986	GO:0003918
PF00986	GO:0005524
PF00998	GO:0003723
PF00998	GO:0003968
PF00999	GO:0015299
PF01000	GO:0003899
PF01000	GO:0046983
PF01001	GO:0003968
PF01001	GO:0004197
PF01001	GO:0004252
PF01001	GO:0017111
PF01002	GO:0004252
PF01003	GO:0005198
PF01005	GO:0003725
PF01007	GO:0005242
PF01010	GO:0008137
PF01015	GO:0003735
PF01016	GO:0003735
PF01017	GO:0003700
PF01017	GO:0004871
PF01018	GO:0005525
PF01019	GO:0003840
PF01020	GO:0003735
PF01021	GO:0003723
PF01022	GO:0003700
PF01025	GO:0000774
PF01025	GO:0042803
PF01025	GO:0051087
PF01026	GO:0016888
PF01028	GO:0003677
PF01028	GO:0003918
PF01029	GO:0003723
PF01031	GO:0005525
PF01032	GO:0005215
PF01033	GO:0005044
PF01033	GO:0030247
PF01035	GO:0003824
PF01039	GO:0016874
PF01040	GO:0004659
PF01044	GO:0051015
PF01047	GO:0003700
PF01048	GO:0003824
PF01049	GO:0005509
PF01050	GO:0016779
PF01051	GO:0003887
PF01053	GO:0030170
PF01055	GO:0004553
PF01056	GO:0003700
PF01058	GO:0051536
PF01059	GO:0008137
PF01063	GO:0003824
PF01064	GO:0004675
PF01064	GO:0005024
PF01065	GO:0005198
PF01066	GO:0016780
PF01068	GO:0003910
PF01068	GO:0005524
PF01070	GO:0016491
PF01073	GO:0003854
PF01073	GO:0016616
PF01074	GO:0004559
PF01075	GO:0016757
PF01076	GO:0003677
PF01077	GO:0016491
PF01077	GO:0020037
PF01077	GO:0051536
PF01078	GO:0016851
PF01079	GO:0008233
PF01080	GO:0004190
PF01081	GO:0016829
PF01082	GO:0004497
PF01082	GO:0005507
PF01082	GO:0016715
PF01083	GO:0016787
PF01084	GO:0003735
PF01086	GO:0005198
PF01087	GO:0008108
PF01088	GO:0004843
PF01090	GO:0003735
PF01091	GO:0008083
PF01092	GO:0003735
PF01095	GO:0030599
PF01096	GO:0003676
PF01096	GO:0008270
PF01101	GO:0031492
PF01106	GO:0005506
PF01106	GO:0051536
PF01108	GO:0005515
PF01109	GO:0005129
PF01109	GO:0008083
PF01111	GO:0016538
PF01112	GO:0016787
PF01113	GO:0008839
PF01114	GO:0008047
PF01116	GO:0008270
PF01116	GO:0016832
PF01118	GO:0016620
PF01118	GO:0051287
PF01119	GO:0005524
PF01119	GO:0030983
PF01120	GO:0004560
PF01121	GO:0004140
PF01121	GO:0005524
PF01122	GO:0031419
PF01126	GO:0004392
PF01127	GO:0016627
PF01128	GO:0003824
PF01129	GO:0003956
PF01131	GO:0003677
PF01131	GO:0003916
PF01132	GO:0003746
PF01134	GO:0050660
PF01135	GO:0004719
PF01136	GO:0008233
PF01139	GO:0008452
PF01140	GO:0005198
PF01142	GO:0003723
PF01142	GO:0009982
PF01144	GO:0008410
PF01147	GO:0005184
PF01148	GO:0016772
PF01149	GO:0003684
PF01149	GO:0003906
PF01149	GO:0008270
PF01149	GO:0016799
PF01150	GO:0016787
PF01152	GO:0019825
PF01153	GO:0043395
PF01154	GO:0004421
PF01155	GO:0016151
PF01157	GO:0003735
PF01158	GO:0003735
PF01159	GO:0003735
PF01163	GO:0003824
PF01163	GO:0005524
PF01165	GO:0003735
PF01166	GO:0003700
PF01174	GO:0016740
PF01175	GO:0016153
PF01176	GO:0003723
PF01176	GO:0003743
PF01177	GO:0036361
PF01179	GO:0005507
PF01179	GO:0008131
PF01179	GO:0048038
PF01180	GO:0004152
PF01183	GO:0003796
PF01185	GO:0005199
PF01186	GO:0005507
PF01186	GO:0016641
PF01191	GO:0003677
PF01191	GO:0003899
PF01192	GO:0003677
PF01192	GO:0003899
PF01193	GO:0046983
PF01194	GO:0003677
PF01194	GO:0003899
PF01195	GO:0004045
PF01196	GO:0003735
PF01197	GO:0003735
PF01198	GO:0003735
PF01199	GO:0003735
PF01200	GO:0003735
PF01204	GO:0004555
PF01207	GO:0017150
PF01207	GO:0050660
PF01208	GO:0004853
PF01209	GO:0008168
PF01210	GO:0016616
PF01210	GO:0051287
PF01212	GO:0016829
PF01213	GO:0003779
PF01214	GO:0019887
PF01215	GO:0004129
PF01216	GO:0005509
PF01218	GO:0004109
PF01219	GO:0004143
PF01220	GO:0003855
PF01223	GO:0003676
PF01223	GO:0016787
PF01223	GO:0046872
PF01225	GO:0005524
PF01226	GO:0005215
PF01228	GO:0003824
PF01229	GO:0004553
PF01231	GO:0020037
PF01232	GO:0016491
PF01233	GO:0004379
PF01234	GO:0008168
PF01235	GO:0015655
PF01238	GO:0004476
PF01238	GO:0008270
PF01239	GO:0008318
PF01243	GO:0004733
PF01243	GO:0010181
PF01244	GO:0016805
PF01245	GO:0003735
PF01247	GO:0003735
PF01249	GO:0003735
PF01250	GO:0003735
PF01250	GO:0019843
PF01251	GO:0003735
PF01252	GO:0004190
PF01253	GO:0003743
PF01254	GO:0003677
PF01255	GO:0016765
PF01258	GO:0008270
PF01263	GO:0016853
PF01264	GO:0004107
PF01265	GO:0004408
PF01266	GO:0016491
PF01268	GO:0004329
PF01268	GO:0005524
PF01269	GO:0003723
PF01269	GO:0008168
PF01270	GO:0004553
PF01272	GO:0003677
PF01273	GO:0008289
PF01274	GO:0004474
PF01276	GO:0003824
PF01278	GO:0004175
PF01279	GO:0005179
PF01280	GO:0003735
PF01282	GO:0003735
PF01283	GO:0003735
PF01285	GO:0003700
PF01287	GO:0003723
PF01287	GO:0003746
PF01287	GO:0043022
PF01288	GO:0003848
PF01289	GO:0015485
PF01290	GO:0003779
PF01291	GO:0005125
PF01292	GO:0009055
PF01293	GO:0004612
PF01293	GO:0005524
PF01294	GO:0003735
PF01295	GO:0004016
PF01296	GO:0005179
PF01297	GO:0046872
PF01300	GO:0003725
PF01301	GO:0004553
PF01310	GO:0031423
PF01314	GO:0009055
PF01314	GO:0016491
PF01314	GO:0016625
PF01314	GO:0051536
PF01316	GO:0003700
PF01318	GO:0005198
PF01320	GO:0015643
PF01321	GO:0016787
PF01322	GO:0005506
PF01322	GO:0009055
PF01322	GO:0020037
PF01323	GO:0015035
PF01325	GO:0003677
PF01326	GO:0005524
PF01326	GO:0016301
PF01328	GO:0004601
PF01329	GO:0008124
PF01330	GO:0005524
PF01330	GO:0009378
PF01331	GO:0004484
PF01333	GO:0005506
PF01333	GO:0009055
PF01333	GO:0020037
PF01335	GO:0005515
PF01336	GO:0003676
PF01339	GO:0000156
PF01339	GO:0008984
PF01340	GO:0003700
PF01341	GO:0004553
PF01342	GO:0003677
PF01343	GO:0008233
PF01344	GO:0005515
PF01347	GO:0005319
PF01349	GO:0003968
PF01349	GO:0004252
PF01349	GO:0004482
PF01349	GO:0004483
PF01349	GO:0016817
PF01349	GO:0017111
PF01349	GO:0070008
PF01352	GO:0003676
PF01355	GO:0009055
PF01356	GO:0015066
PF01361	GO:0016853
PF01363	GO:0046872
PF01364	GO:0008234
PF01365	GO:0005262
PF01366	GO:0008565
PF01367	GO:0003677
PF01367	GO:0003824
PF01369	GO:0005086
PF01370	GO:0003824
PF01370	GO:0050662
PF01371	GO:0003700
PF01372	GO:0004860
PF01373	GO:0016161
PF01374	GO:0016977
PF01375	GO:0003824
PF01379	GO:0004418
PF01380	GO:0030246
PF01381	GO:0043565
PF01384	GO:0005315
PF01386	GO:0003735
PF01386	GO:0008097
PF01388	GO:0003677
PF01392	GO:0005515
PF01395	GO:0005549
PF01396	GO:0003677
PF01396	GO:0003916
PF01397	GO:0010333
PF01397	GO:0016829
PF01398	GO:0005515
PF01399	GO:0005515
PF01400	GO:0004222
PF01401	GO:0008237
PF01401	GO:0008241
PF01403	GO:0005515
PF01408	GO:0016491
PF01409	GO:0000049
PF01409	GO:0004812
PF01409	GO:0005524
PF01410	GO:0005201
PF01411	GO:0000166
PF01411	GO:0004813
PF01411	GO:0005524
PF01412	GO:0008060
PF01412	GO:0008270
PF01413	GO:0005201
PF01415	GO:0005126
PF01415	GO:0008083
PF01416	GO:0003723
PF01416	GO:0009982
PF01418	GO:0003700
PF01420	GO:0003677
PF01421	GO:0004222
PF01422	GO:0003700
PF01422	GO:0008270
PF01424	GO:0003676
PF01425	GO:0016884
PF01426	GO:0003682
PF01427	GO:0008237
PF01427	GO:0016805
PF01428	GO:0008270
PF01429	GO:0003677
PF01430	GO:0051082
PF01431	GO:0004222
PF01432	GO:0004222
PF01433	GO:0008237
PF01433	GO:0008270
PF01434	GO:0004222
PF01434	GO:0005524
PF01435	GO:0004222
PF01436	GO:0005515
PF01439	GO:0046872
PF01440	GO:0005198
PF01442	GO:0008289
PF01443	GO:0005524
PF01446	GO:0003677
PF01447	GO:0004222
PF01450	GO:0004455
PF01457	GO:0004222
PF01465	GO:0005515
PF01467	GO:0003824
PF01472	GO:0003723
PF01474	GO:0003849
PF01475	GO:0003700
PF01477	GO:0005515
PF01478	GO:0004190
